,Questions,Correct,A,B,C,D
290,"Its not enough that we do our best; sometimes we have to do whats required.
",Sir Winston Churchill,John F. Kennedy,Jane Austen,Sir Winston Churchill,Pearl Buck
291,"Clothes make the man. Naked people have little or no influence on society.
",Mark Twain,Mark Twain,Aristotle,Sartre,Charles Dickens
292,"Always forgive your enemies; nothing annoys them so much.
",Oscar Wilde,Napoleon Bonaparte,Carl Jung,Oscar Wilde,Aesop
293,"Pleasure in the job puts perfection in the work.
",Aristotle,Henry David Thoreau,Howard Newton,Aristotle,Jean De La Fontaine
294,"I think we agree, the past is over.
",George W. Bush,Harry S Truman,George W. Bush,William Shakespeare,Emily Dickinson
295,"He got no respect.
",Rodney Dangerfield,Rodney Dangerfield,Walter Mattheau,Tony Randall,Richard Pryor
296,"This Oscar-winning actor gave unforgettable performances in On the Waterfront and Streetcar Named Desire.
",Marlon Brando,Mickey Rooney,Marlon Brando,Robert Stack,Sir Alex Guiness
297,"He was born in Swiss Cottage, London, England. He won Oscars for supporting actor in Spartacus and Topkapi. His autobiography was entitled Dear Me.
",Peter Ustinov,Tony Randall,Peter Ustinov,Orson Welles,Sir Alex Guiness
298,"This actor, born Arthur Leonard Rosenberg in Tulsa, Oklahoma, was on TV for five years as Felix Unger in The Odd Couple.
",Tony Randall,Tony Randall,Jack Lemmon,Walter Mattheau,Jack Klugman
299,"This actress played Ann Darrow in the 1933 production of King Kong.
",Fay Wray,Fay Wray,Teri Hatcher,Ann Channing,Joan Crawford
300,"She wrote Mastering the Art of French Cooking in 1961 and had a television program entitled the The French Chef.
",Julia Childs,Ann Dalton,Evonne Chuker,Julia Childs,Betty Crocker
301,"I say The Rocket, you say ______?
",Roger Clemens,Steve Carlton,Roger Clemens,Nolan Ryan,Randy Johnson
302,"I say The Minister of Defense, you say ______?
",Reggie White,Dick Butkus,Joe Montana,Reggie White,Emmit Smith
303,"I say The Glide, you say _____?
",Clyde Drexler,Kobe Bryant,Steve Smith,Clyde Drexler,James Worthy
304,"I say Pistol, you say ______?
",Pete Maravich,Vince Carter,Jason Kidd,Kobe Bryant,Pete Maravich
305,"Andrew Johnson was known as three of these alternative names. Which is the odd one?
",Gentleman Boss,Tennessee Tailor,Sir Veto,Gentleman Boss,Father of the Homestead Act
306,"William McKinley was referred to as one of these.
",Stocking-footed Orator,Hangman of Buffalo,Old Eight to Seven,Stocking-footed Orator,Preacher President
307,"One of these pairs (US President - his nickname) is wrong.
",James Buchanan - Fifty-cent Jimmy,Franklin Pierce - Young Hickory of Granite Hills,John Tyler - His Accidency,James K. Polk - Napoleon of the Stump,James Buchanan - Fifty-cent Jimmy
308,"Theodore Roosevelt was known as the Cyclone Assemblyman, The Hero of San Juan Hill and Roosevelt I.
",True,False,True,,
309,"Gerald Ford was famous for being him.
",Mr. Nice Guy,Mr. Nice Guy,Mr. Ugly,Mr. Smart Guy,Mr. Dull Guy
310,"Andrew Jackson, John Quincy Adams and John F. Kennedy have nicknames in which they are referred to as these.
",Kings,Kings,Dukes,Barons,Counts
311,"Three of these alternative names belong to US Presidents who have been even presidents (for instance, 12th President, 10th President). Which is the odd one?
",Old Buck,Honest Abe,Handsome Frank,Old Zach,Old Buck
312,"Calvin Coolidge is known as this Cal.
",Silent Cal,Silent Cal,Wise Cal,Mad Cal,Young Cal
313,"Who was the first American woman to reach outer space?
",Sally Ride,Beverly Dangelo,Katherine Patterson,Britney Spears,Sally Ride
314,"Martha Washington was the first First Lady of the United States.
",True,True,False,,
315,"Who is the first woman in U.S. history to be Speaker of the House?
",Nancy Pelosi,Sydney Wittrock,Sandra Day O Connor,Nancy Pelosi,Hillary Clinton
316,"Who was first lady to win two Nobel Prizes?
",Marie Curie,Maria Mayer,Hillary Clinton,Madeleine Lengle,Marie Curie
317,"According to the Bible, Eve was the first woman on Earth.
",True,True,False,,
318,"Who was the first woman to earn a medical degree?
",Elizabeth Blackwell,Sally Ride,Belva Lockwood,Antoinette Blackwell,Elizabeth Blackwell
319,"According to the Bible, Eve was the first person on Earth.
",False,False,True,,
320,"Who was the first woman to found a major religion?
",Mary Eddy,Mary Eddy,Britney Spears,Sarah Goode,Annie Tatlor
321,"Condoleezza Rice is the first woman to serve as U.S. Secretary of State.
",False,False,True,,
322,"Who is the first woman to serve as Associate Justice of the U.S. Supreme Court?
",Sandra Day OConnor,Jessica Simpson,Hillary Clinton,Sandra Day OConnor,Nancy Pelosi
323,"The most common hostage situation is when the hostage-taker is...?
",Emotionally and/or mentally disturbed.,Rational and uses people to trade their lives for whatever goal she/he has.,Emotionally and/or mentally disturbed.,Rational and uses people to attract public attention.,Rational and uses people as human shields so that she/he does not get shot by the police.
324,"At the scene of any hostage crisis, it is best if the negotiator and the police commander duties are performed by different people.
",True,False,True,,
325,"Not always are the negotiators professionals. Sometimes they are bystanders who get involved. This happened in 1975, when the terrorist group Japanese Red Army attacked the US Consulate in Kuala Lampur. They made a phone call to notify the US authorities that they had hostages.  The man who answered the phone and became an accidental negotiator was...?
",A junior embassy officer,A janitor,A junior embassy officer,"The consuls child, who was there at that time",A Japanese who was applying for a visa
326,"It is never a good idea to use a secondary negotiator, because all he/she can do is distract the primary one.
",False,False,True,,
327,"Should the negotiator foster the growth of a relationship between him and the hostage-taker?
",Yes,Yes,No,,
328,"Which of these should a negotiator never do?
",Give the hostage-takers everything they ask for,Ensure the safety of the hostages,Give the hostage-takers everything they ask for,Keep things calm,Prolong the negotiations
329,"Which of these statements is incorrect, regarding the Stockholm Syndrome?
",All statements are true,The hostages feel afraid that the police might rush into the building and kill them accidentally,It is a defense mechanism,All statements are true,The hostages feel gratitude that later turns into sympathy towards the criminals for sparing their lives
330,"The United States and Russia are nations with a reputation for strict non-negotiation policies. Which one is a third such nation?
",Israel,Germany,China,Israel,France
331,"In 2004, Chechen separatists invaded the Beslan elementary school.  What did the Russian government do?
",It ordered an armed assault and some hostages died.,It ordered an armed assault and some hostages died.,It did nothing and three days later the separatists released the hostages.,It ordered an armed assault and saved all the hostages.,It did nothing and three days later the separatists killed all hostages.
332,"Only one of these makes kidnapping resemble a typical hostage situation.  Which one?
","Kidnappers usual goals are money, attention, some cause, etc.",The criminals are barricaded in an unknown area,Communication is one-way - the kidnappers tell authorities what to do,The criminals keep their hostages at a secret location,"Kidnappers usual goals are money, attention, some cause, etc."
333,"What was the name of the London area where Jack the Ripper murdered his victims?
",Whitechapel,Wellington,Longshore,Whitechapel,Aldorf
334,"Portrait of a Killer - Jack the Ripper: Case Closed is a 2002 book by which crime novelist?
",Patricia Cornwell,Michael Connely,Antonia Fraser,Michael Collins,Patricia Cornwell
335,"The killings attributed to Jack the Ripper were perpetrated during what year?
",1888,1889,1888,1886,1900
336,"Which of these women was not among the possible victims of Jack the Ripper?
",Pearly Poll Connelly,Mary Kelly,Mary Ann Nichols,Pearly Poll Connelly,Catherine Eddowes
337,"It was proved that Jack the Ripper raped his victims.
",False,False,True,,
338,"How many murders did Jack the Ripper perpetrate, according to the most widely accepted list of victims?
",5,5,7,9,8
339,"This author, recipient of the A. C. Greene Award and the Romance Writers of Americas Lifetime Achievement Award, wrote the novel Unspeakable.
",Sandra Brown,James Fenimore Cooper,Sandra Brown,Joseph Wambaugh,John Gray
340,"Who wrote The Last of the Mohicans, an epic novel, featuring the hero Natty Bumppo?
",James Fenimore Cooper,James Fenimore Cooper,Cynthia Profiler,Trevor Rees-Jones,Sandra Brown
341,"Who wrote the fairy-tale picture-book Shrek, which was later adapted into a computer animated movie?
",William Steig,Scott ODell,William Steig,Francis Hodgson Burnett,Lemony Snicket
342,"What is the title of the last chapter in Harry Potter and the Goblet of Fire, the fourth book in the Harry Potter series?
",The Beginning,The Beginning,The End,Almost the End,Almost the Beginning
343,"This name means to gradually diminish.
",peter,brian,peter,john,fred
344,"This is also the name of a certain ethnic group in Burma.
",Karen,Karen,Susan,Jennifer,Taino
345,"This common name is also a slang term for a prostitutes customer.
",John,John,Jake,Fred,Roger
346,"A good cup of this in the morning goes well with breakfast.
",Joe,Charlie,Clark,Joe,Jimmy
347,"Charlemagne was the leader of this Germanic tribe.
",Franks,Virgils,Damiens,Franks,Toms
348,"What name did the American soldiers in Vietnam use to refer to the Viet Cong collectively?
",Charlie,Charlie,Victor,Tommy,Billy
349,"Which name refers to a private in the British army?
",Tommy,Charlie,Robert,Jack,Tommy
350,"Which of the following refers to a low growing Eurasian shrub of the genus Erica with small evergreen leaves?
",Heather,Carmen,Karen,Heather,Jessica
351,"What is the fifth sign of the zodiac?
",Leo,Marcus,Gemini,Leo,Aries
352,"Which of the following means a British nobleman ranking right above a viscount and below a marquis?
",earl,baron,richard,earl,damien
353,"Serial killers generally stalk and kill their prey in three ways. Which one of the following is not one of those ways?
",Direct,Territorial,Nomadic,Stationary,Direct
354,"The following is a quote from a letter believed to have been sent by which notorious serial killer to the Central News office in London:
",r I send you half the Kidne I took from one woman prasarved it for you  tother piece I fried ate was very nise I may send you the bloody knif that took it out if you only wait a whil longer.?,Jack the Ripper,Jack the Ripper,Jack the Stripper,Ivan the Ripper
355,"Between December 1972 and June 1980, authorities in seven southern California counties reported the violent deaths of 21 young men and boys, attributing their murders to The Freeway Killer. What was this murderers name?
",William George Bonin,William Ray Pugh,Randy Kraft,William George Bonin,Russel Pugh
356,"The label bad seed related to serial killers personalities derives from William Marchs 1954 novel of the same title.
",True,False,True,,
357,"Which one of these murderers was once employed by contractor and serial killer John Gacy?
",Robin Gecht,Thomas Kokoraleis,Edward Spreitzer,Robin Gecht,Andrew Kokoraleis
358,"Born in 1960, the son of a prostitute, inflicted from birth with epilepsy, partial paralysis and a deformed right arm, this killer legally changed his name at age 19 to the name of the movie star he idolized.
",Bruce Lee,Charles Bronson,Chuck Norris,Christopher Lee,Bruce Lee
359,"Studies show that only 30% of all serial murderers are sexually motivated for their actions.
",False,False,True,,
360,"What was Princess Dianas astrological sign?
",Cancer,Leo,Aquarius,Cancer,Virgo
361,"What are the names of Lady Diana and Prince Charless sons?
",William and Harry,Harry and Joseph,Charles Jr. and William,William and George,William and Harry
362,"While married to Prince Charles, Diana, Princess of Wales, had an affair with James Hewitt. What was his profession?
",Her riding instructor,Her riding instructor,Her bodyguard,Owner of a department store,Heart surgeon
363,"Which of these people survived the car crash on August 31, 1997 in the Pont de lAlma road tunnel in Paris?
",Dodi Al-Fayeds bodyguard Trevor Rees-Jones,The driver Henri Paul,There were no survivors.,Princess Dianas lover Dodi Al-Fayed,Dodi Al-Fayeds bodyguard Trevor Rees-Jones
364,"When did Prince Charles and Princess Diana divorce?
",August 1996,August 1999,June 1991,August 1996,January 1997
365,"What was the profession of Diana Frances Spencer before she became Princess of Wales?
",Kindergarten teacher,Actress,Kindergarten teacher,Fashion designer,Heart surgeon
366,"In 1997 Lady Diana died in a car crash travelling at high speed in what car?
",Mercedes-Benz 280 S,Lamborghini Diablo,Buick Riviera,Volvo C70,Mercedes-Benz 280 S
367,"Princess Diana was buried on an island in the middle of the Round Oval lake in which country estate in England?
","Althorp, Northamptonshire","Capesthorne Hall, Cheshire","Tolethope Hall, Lincolnshire","Clouds Hill, Dorset","Althorp, Northamptonshire"
368,"Which of these statements refers to the late Diana, Princess of Wales?
",All of these,"Since the 17th century, Diana was the first English-born spouse of a heir to the English throne.",Diana was the first English princess to omit the word obey in the marriage vows.,All of these,"In 1987, Diana became the first world-famous celebrity, photographed touching people with AIDS."
369,"Finish the lyrics of Elton Johns song Candle in the Wind 1997 which he performed at Princess Dianas funeral in Westminster Abbey:
",,odbye Englands rose,y you ever grow in our hearts,u were the grace that placed itself,ere lives were torn apart
370,"dbye Englands rose
",y you ever grow in our hearts,u were the grace that placed itself,ere lives were torn apart,u called out to our country,d you whispered to those in pain
371,"Did John pop star icon Denver die October 12, 1997, at the age of 53 in an automobile accident?
",No,Yes,No,,
372,"This overweight comedian was, best known for his stint on SNL, was 33 when he died December 18th, 1997.
",Chris Farley,John Belushi,Jim Belushi,Chris Farley,John Beluski
373,"1960, Sri Lanka.  She became the worlds first female prime minister.
",Sirimavo Bandaranaike,Golda MeÃ¯r,Indira Gandhi,Sirimavo Bandaranaike,Ã‰lisabeth DomitiÃ©n
374,"1974, Argentina.   She became the first ever female president.
",Isabel Peron,Lydia Gueiler Tejada,Isabel Peron,Agatha Barbara,FinnbogadÃ³ttir
375,"She was the first recorded female leader. She ruled the Mesopotamian City-State of Ur around 2500 BCE.
",Ku-Baba,Nefertari,Cleopatra,Ku-Baba,Nefertiti
376,"Starting in 1966, she was the prime minister of India for 15 years.  Her political career was controversial, as she was viewed by some as a dictator.
",Indira Gandhi,Golda MeÃ¯r,Ã‰lisabeth DomitiÃ©n,Indira Gandhi,Sirimavo Bandaranaike
377,"She was the first African American woman to become The United States Secretary of State.  Her name comes from Italian and means to play with sweetness, a musical term.
",Condoleezza Rice,Condoleezza Rice,Miriam A. Ferguson,Patience Sewell Latting,Madeleine Albright
378,"In 1988 she became the Prime Minister of Pakistan.  She was the first woman to head the government of an Islamic State.
",Benazir Bhutto,Silva Pintasilgo,Gro Harlem Brundtland,Indira Gandhi,Benazir Bhutto
379,"This woman was the first female president of the Philippines. She succeeded her husband after his assassination in 1983, and became the leader of the opposition to President Ferdinand Marcos.  Three years later, she was elected President.
",Corazon Aquino,Milka Planinc,Corazon Aquino,Kasimiera Prunskien,Benazir Bhutto
380,"She served as Prime Minister of the United Kingdom from 1979 to 1990, which makes her the first woman to hold this position in the UK.
",Margaret Thatcher,Hanna Suchocka,Elisabeth Domitien,Edith Cresson,Margaret Thatcher
381,"She was the first black bishop in a major domination, from 1984 until 1988.
",Leontine T.G. Kelly,Susan Hassinger,Leontine T.G. Kelly,Judith Craig,Ann Sherer
382,"Prior to becoming Spy Chief of South Africa in 2001, she was the Minister of Intelligence.
",Lindiwe Nonceba Sisulu,Claudia J. Kennedy,Lindiwe Nonceba Sisulu,Hanne Bech Hansen,Eliza Manningham-Buller
383,"Who was President during the Suez crisis, after a long career in the U.S. Army?
",Dwight David Eisenhower,Dwight David Eisenhower,Harry Shippe Truman,Richard Milhous Nixon,Lyndon Baines Johnson
384,"What President delivered the Gettysburg Address?
",Abraham Lincoln,Zachary Taylor,Andrew Johnson,Abraham Lincoln,James Buchanan
385,"Which President promoted the Big Stick policy in U.S. foreign matters ?
",Theodore Roosevelt,John Tyler,William Howard Taft,James Abram Garfield,Theodore Roosevelt
386,"What U.S. Presidents campaign slogan was The New Frontier ?  He wanted to get the nation moving again.
",John Fitzgerald Kennedy,James Earl Carter,Ronald Wilson Reagan,John Fitzgerald Kennedy,William Jefferson Clinton
387,"What U.S. President resigned because of the Watergate affair?
",Richard Milhous Nixon,Martin Van Buren,George H.W. Bush,Richard Milhous Nixon,Gerald Rudolph Ford
388,"What U.S. President is linked with the slogan: America For The Americans?
",James Monroe,Rutherford Birchard Hayes,James Monroe,George Washington,William Henry Harrison
389,"He was Commander of the Continental Army during the War of  Independence and, later ,the first U.S. President to serve two terms.
",George Washington,Chester Alan Arthur,George Washington,Stephen Grover Cleveland,Warren Gamaliel Harding
390,"He played the part of Morgan Earp in Gunfight at the O.K. Corral but was probably best known as Bones on Star Trek.
",DeForest Kelly,Patrick Mcmanus,Leonard Nimoy,DeForest Kelly,William Demarest
391,"The oldest clear definition of piracy was given by the Greek historian Plutarch, around this time.
",100 AD,1000 BC,200 BC,140 BC,100 AD
392,"These establishments sometimes allowed pirates to represent them at times of war.
",Governments,Governments,State Marines,Municipalities,States
393,"This is the name of the pirate flag. The origins of the name are not clear, but the skull and crossbones motif first appeared around 1700.
",Jolly Roger,Funny Ringo,Jolly Roger,Merry Jack,Happy Joe
394,"Pirates did not actually have parrots as pets, it is a myth.
",True,True,False,,
395,"It was a popular belief among pirates that a woman aboard the ship brings bad luck.  That is why before becoming a pirate, this woman had to disguise herself as a man.
",Anne Bonny,Anne Bonny,Norma Rae Webster,Ellen Ripley,Atticus Finch
396,"Pirates who operated in the Caribbean were called this.  They were authorized by their governments to attack shipping lines of Christian countries.
",Corsairs,Corsairs,Privateers,Buccaneers,Crusaders
397,"These pirates preyed upon cattle and pigs in the areas of Haiti and the Dominican Republic.  Their name comes from the French word for outdoor roast or barbecue.
",Buccaneers,Privateers,Buccaneers,Corsairs,Modern Pirates
398,"This is straight out of the Pirate Code of Conduct.  A pirate found stealing from another member of crew will be punished in this manner.
",He shall be marooned or shot,He shall be expelled from the ship,He shall be marooned or shot,He shall be left on a deserted island,He shall be given to rival pirates
399,"Pirates were squanderers and didnt have much money to bury.  So the idea of a buried treasure is a romantic one, initiated by Treasure Island.  However, this pirate was known for burying his money.
",Captain Kidd,Francis Drake,Thomas Jones,Samuel Bellamy,Captain Kidd
400,"When pirates were caught, they were brought to trial and sentenced to death by hanging.  The hanging was referred to as this.
",Dancing the hempen jig,Jolly Roger,Dancing the hempen jig,Hopping on the rope,The heavenly call
401,"Which team did English soccer star David Beckham play for before joining Real Madrid in 2003?
",Manchester United,FC Bayern,FC Arsenal,DC United,Manchester United
402,"New York Mets pitcher Tom Glavine began his baseball career with which team?
",Atlanta Braves,Philadephia Philles,Boston Red Sox,Atlanta Braves,New York Yankees
403,"Michael Jordan played for the Chicago Bulls and for two other teams in the NBA.
",False,True,False,,
404,"Baseball Hall of Famer Ryne Sandburg is best known as a player for the Chicago Cubs. Where else did he play?
",Philadelphia,Arizona and Tampa Bay,Philadelphia,Atlanta and New York Yankees,Philadelphia and Atlanta
405,"NBA superstar Dominique Wilkins played nearly his entire career for Atlanta. What other NBA teams did he also play for?
","Orlando, San Antonio, LA Clippers and Boston","Vancouver, Seattle, Boston, Orlando and Houston","Orlando, Boston, New York, Chicago and Miami","Orlando, San Antonio, LA Clippers and Boston","LA Lakers, Orlando, New Jersey and New Orleans"
406,"Deion Sanders started his football career in San Fransisco.
",False,False,True,,
407,"Footballs Iron Man, Brett Farve was a quarterback for which team prior to signing with Green Bay?
",Atlanta Falcons,He was always a Packer,Chicago Bears,Atlanta Falcons,New York Jets
408,"Roger Clemens has played for which teams in his baseball career?
","Toronto, Boston, New York Yankees, Houston","Philadelphia, New York Mets, Oakland","Toronto, Boston, New York Yankees, Houston","Houston, New York","Chicago White Sox, Texas, New York Yankees, Houston"
409,"Prince Edward Island was the first Canadian province to prohibit alcohol in 1901. However, these two brothers were famous for smuggling alcohol on their rum running schooner.
",The Dicks brothers,The Hues brothers,The Dicks brothers,The Howard brothers,The Biro brothers
410,"This smuggler moved to Jamaica after serving a 10-year jail sentence in Canada for importing 75 tons of marijuana into the United States.
",Brian ODea,Brian ODea,George Jung,William Jardine,Medellín Cartel
411,"This Colombian drug lord was arguably the richest and most violent criminal in history.  Forbes Magazine in 1989 listed him as the seventh-richest man in the world.
",Pablo Escobar,George Jung,Pablo Escobar,Ochoa brothers,Howqua
412,"This man was an international marijuana smuggler who refused to work with hard drugs.  He spent 7 years at the Terre Haute penitentiary in America.
",Howard Marks,Howard Marks,Pablo Escobar,Antônio Mota Graça,Manuel Noriega
413,"These three brothers were members of the MedellÃ­n Cartel. They were influential cocaine kingpins until they surrendered in 1990.
",The Ochoa brothers,The Howard brothers,The Dicks brothers,The Ochoa brothers,The Biro brothers
414,"He was the de facto military leader of Panama from 1983 to 1989.  However, in 1992 he was convicted on eight counts of drug trafficking, money laundering and racketeering -- and sentenced to 40 years in federal prison.
",Manuel Antonio Noriega Moreno,Manuel Antonio Noriega Moreno,William Jardine,George Jung,Brian ODea
415,"This man led the Cali Cartel and was a rival of Pablo Escobar.  At its height, the cartel controlled over 80% of the cocaine exports from Colombia to the USA.
",Gilberto RodrÃ­guez Orejuela,AntÃ´nio Mota GraÃ§a,Juan Carlos,Gilberto RodrÃ­guez Orejuela,Manuel Noriega
416,"This American started out as a marijuana smuggler in the 60s making $100,000 per month and eventually became involved in cocaine smuggling on a massive scale.  He is portrayed by Johnny Depp in the movie Blow (2001).
",George Jung,Carlos Lehder,George Jung,Ontario Purdy,James Matheson
417,"Gaius Julius Caesar Octavianus, better known as Caesar Augustus, was the first Roman Emperor (this is true). Although he is known as one of the greatest Roman Emperors, he had some problems with his citizens, as he didnt believe in the Roman Gods.
",False,False,True,,
418,"Evidence of the longevity of Augustus legacy can be found even today.  For example, the month of August is named after him. What was the Roman name for this month before it was renamed?
",Sextilis,Aprilis,Quintilis,Martius,Sextilis
419,"Tiberius Caesar Augustus is remembered as a depressed and unpopular ruler, whose reign was marked by terror. Tiberius was into a exile twice - once on the island of Rhodes and the second time on this island.
",Capri,Trinidad,Capri,Sicily,Rhodes again
420,"One of the most extravagant and cruel emperors of Rome was Gaius Julius Caesar Germanicus, better known as Caligula. Although there is very little information about his reign, many stories and anecdotes can be heard about Caligula. According to one of them, he tried to make his favourite animal Incitatus, a consul.  What kind of animal was Incitatus?
",horse,horse,dog,cat,falcon
421,"Another story tells us about Caligula, declaring war on this Roman god.
",Neptune,Zeus,Apolon,Neptune,Mars
422,"The rule of Caligula ended in 41 AD with his assassination. Several officers of the Praetorian Guard caught him alone and mercilessly killed him. This man became the next Roman Emperor.
",Claudius I,Claudius I,Claudius II,M. Antonius Primus,Vespasian
423,"The fifth and last Roman Emperor of the Julio-Claudian dynasty was Nero. He was hated by many and he tried to redirect the hatred of the people by persecuting this Eastern sect.
",Christians,Buddhists,Muslims,Christians,Hinduists
424,"One of the most famous buildings of the ancient Rome is the Colosseum. It was built by this Emperor and his son, Titus, between AD 72 and AD 90.
",Vespasian,Marcus Aurelius,Vespasian,Trajan,Commodus
425,"Commodus had a passion for gladiatorial combat (this is true). He also liked appearing in the arena, dressed as a gladiator.
",True,True,False,,
426,"In 313 AD the Edict of Milan was signed, which made Christianity one of the official religions in the Roman Empire. Years later, Christianity became the official state religion in Rome, under the rule of this emperor.
",Theodosius I,Valentinian III,Constantine I,Licinius,Theodosius I
427,"This famous personage began his pirate career as a good man. He was sent by the King to capture pirates in the Indian Ocean. However, his crew was tempted by the great plunder mutinied against him. He quickly acquiesced and started attacking both pirate and merchant ships.
",Captain Kidd,Captain Kidd,Sir Francis Drake,Blackbeard,Black Bart
428,"He is the most famous pirate in history. His attacking strategy was to board ships while in channels. He would take all food, arms and valuables and if the ships crew did not resist, he would let the ship go.
",Blackbeard,Blackbeard,Captain Kidd,Henry Morgan,Nathaniel Butler
429,"This sophisticated pirate wore fancy clothes, had a diamond cross on a chain around his neck and drank a lot of tea instead of alcohol. He also forbid swearing and drinking alcohol on his ship and made his crew attend regular church services.
",Black Bart,Henry Morgan,Black Bart,Blackbeard,Sir Francis Drake
430,"This man captured one of the largest hauls, which proved to be laden with enough treasure to pay off Englands national debt. It took the pirate four days just to transfer the loot from one ship to another. It is known that the Queen of England often referred to him as  my pirate.
",Sir Francis Drake,Charles Vane,Henry Avery,Sir Francis Drake,Howell Davis
431,"She was one of the few female pirates. She was the daughter of a lawyer and his servant. Although her father taught her how to run a plantation, her ardent temperament led her to piracy. She fell deeply in love with Calico Jack Rackham and started crossing the seas with him. She did not stop even after giving birth to their child - she left the baby with other pirate families, so that she could sail along with Rackham.
",Anne Bonny,Kanhoji Angria,Murat Rais,Mary Read,Anne Bonny
432,"This pirate proclaimed himself prince. He began his pirate career by setting off in search of a lost treasure along the coast of Florida. The wrecks of his ship Whydah were the first ones of a pirate ship to be found in sea, in 1984.
",Samuel Bellamy,Samuel Bellamy,Henry Morgan,Edward England,Charles Vane
433,"He was well-educated and so in love with books, that he made a library aboard his ship.  Probably that is why he was called The gentleman pirate. After his capture, he managed to escape from prison dressed as a woman.  However, he was captured and put in jail two weeks later.
",Stede Bonnet,Charles Vane,Stede Bonnet,Howell Davis,Samuel Bellamy
434,"This man was living a descent life in Jamaica when he decided to become a pirate. At the end of his plundering activities, he was knighted and sent back to Jamaica, this time as lieutenant governor.
",Henry Morgan,Henry Every,Henry Morgan,Howell Davis,Charles Vane
435,"This man took up piracy when he was assigned to attack French smugglers on the island of Martinique. Many months had passed since the crew last got any money, so they started to mutiny. Thus, they took over the ship that was given to them by the government authorities, renamed it to Fancy and went looking for plunder.
",Henry Avery,John Hawkins,Henry Avery,Henry Morgan,Captain Kidd
436,"This Barbary corsair was probably born in Albania. He is known as one of the boldest seafarers. It is said that he once captured the popes flagship. Another achievement of his was the plundering of a treasure amounting to the annual salary of 40,000 merchants.
",Murat Rais,Kanhoji Angria,Blackbeard,Stede Bonnet,Murat Rais
437,"In which of these movies did actress Mary Kate Olsen star without her twin Ashley Olsen?
",Factory Girl,How the West Was Fun,Factory Girl,It Takes Two,When In Rome
438,"Queen Mary I of England was also known as Bloody Mary because she persecuted which social group?
",Protestants,Protestants,Indians,Jews,Catholics
439,"Which of these world-famous tennis players became the Wimbledon 2004 Champion?
",Maria Sharapova,Mary Pierce,Maria Kirilenko,Maria Sharapova,Maria Bueno
440,"What does the J stand for in the name of the Grammy Award-winning singer Mary J. Blige?
",Jane,Jane,Jada,Jasmine,Jessica
441,"On what date do Roman Catholic, Anglican and Eastern Orthodox churches observe the day of St. Mary Magdalene?
",July 22,January 6,July 22,December 25,September 11
442,"Marie Fredriksson, lead singer of the Swedish pop group Roxette, was diagnosed with what dangerous illness in 2002?
",Brain cancer,Brain cancer,Tuberculosis,Breast cancer,AIDS
443,"In 1903 and 1911, Polish-French scientist Marie Curie received which Nobel Prizes?
",In Physics and in Chemistry,In Physics and in Peace,In Physics and in Chemistry,In Chemistry and in Physiology,In Physiology and in Physics
444,"Which of these musicians didnt release a song named Maria in 1999?
",Red Hot Chili Peppers,Blondie,Red Hot Chili Peppers,Ricky Martin,Rage Against the Machine
445,"In the 19th century, English writer Mary Shelley wrote which famous gothic novel?
",Frankenstein,The Picture of Dorian Gray,Frankenstein,Interview with the Vampire,Dracula
446,"Which actress played the role of Mary in the 1998 movie Theres Something About Mary?
",Cameron Diaz,RenÃ©e Zellweger,Reese Witherspoon,Cameron Diaz,Gwyneth Paltrow
447,"A popular 1960s group, who scored big with their Smash Hit Mony, Mony .
",Tommy James and the Shondelles,Tommy Tarantula and the 4 Aces,Tommy and the Shilites,Tommy Hawthorne and the Chandeliers,Tommy James and the Shondelles
448,"This singer and entertainer is well known for his hit song, Love Me Tonight.
",Tom Jones,Tom Aragon,Tommy Lee,Tom Caruso,Tom Jones
449,"Which famous King of France, who reigned in the 17th century, is widely-known as The Sun King?
",Louis XIV,Louis XIV,Louis XVIII,Philippe I,Charles the Great
450,"Which English king, who reigned from 1714 to 1727, could not speak English?
",King George I,King Edward II,King George I,King Richard III,King Arthur
451,"Who sponsored Christopher Columbus voyage during which he discovered America?
",Queen Isabella I of Spain,King Henry VIII of England,Queen Elizabeth II of England,King Louis XIV of France,Queen Isabella I of Spain
452,"Which Queen of France was guillotined in 1793 during the French Revolution of 1789â€“1799?
",Marie Antoinette,Margrethe II,Elisabeth I,Marie Antoinette,Catherine de Medici
453,"Three of these names refer to one and the same queen. Which is the odd one?
","Mary, Queen of Scots",Bloody Mary,Mary Tudor,Mary I of England,"Mary, Queen of Scots"
454,"Which queen founded a union of the Scandinavian countries in 1397 and ruled Norway, Denmark and Sweden?
",Margaret I,Christina I,Margaret II,Margaret I,Elizabeth I
455,"Who was the father of Charles the Great, King of the Franks of the Carolingian dynasty?
",King Pippin the Short,King Henry Viii,King Louis the Pious,King Pippin the Short,King Charles the Bald
456,"Name the King of England who was married six times and established the Church of England in 1534.
",King Henry VIII,King Sweyn Forkbeard,King William I the Conqueror,King Richard I the Lionheart,King Henry VIII
457,"Born in 1683, King Philip V was the first Spanish king of which royal dynasty?
",Bourbon,Savoy,Bonaparte,Habsburg,Bourbon
458,"Which of these monarchs is not correctly matched to the country he ruled?
",King Harald V  - Denmark,King Constantine II - Greece,King Harald V  - Denmark,King Carl XVI Gustaf - Sweden,King Juan Carlos I - Spain
