,Questions,Correct,A,B,C,D
340,"At the 2006 Survivor Series, the team of Triple H, Shawn Michaels, Matt and Jeff Hardy, and CM Punk shutout the team of Edge, Randy Orton, Gregory Helms, Johnny Nitro, and Mike Knox.
",True,True,False,,
341,"What is George Herman Ruths nickname?
",Babe,Babe,Magic,Oh Yeah,The Splendid Splinter
342,"Guess the nickname of Henry Aaron, who played with the Braves and Brewers.
",Hammerin Hank,Hammerin Hank,Bustem Hank,Hit em Where They Aint Hank,Sluggen Hank
343,"What was the nickname of Walter Johnson, one of the top pitchers of his era?
",Big Train,Big Train,Wonderful Walter,Wicked Walter,Shut em Down Time
344,"What was Mordecai Browns nickname?
",Three Fingers,Black and Blue Brown,Music Mordecai,Three Fingers,Whizzer
345,"Guess the nickname of Ty Cobb, who Won the Triple Crown in 1909.
",The Georgia Peach,Georgia On My Mind,Kernal Cobb,The Georgia Peach,Corn on the Cobb
346,"His name is Lawrence Peter Berra but most people know him by this nickname.
",Yogi,Pudge,Stumpy,Yogi,Bump
347,"Carlton Fisk was best known by what nickname?
",Pudge,Sweets,Hoppy,Minor,Pudge
348,"Guess the nickname of Henry Louis Gehrig.
",The Iron Horse,The Iron Horse,Joltin Joe,Swish,Hank
349,"Reginald Martinez Jackson, who started his career with the As, earned what nickname?
",Mr. October,Cool Reggie,Mr. October,Billys Headache,Mr. Mouth
350,"Carl Michael Yastrzemski, who played his entire career with the Boston Red Sox, was best known for what nickname?
",Yaz,Yaz,King,Rovin Carl,Mr. April
351,"The Detroit Tigers won the World Series in which of the following years?
",1984,1972,1984,1971,1983
352,"When did the Pittsburgh Pirates win the World Series?
",1960,1963,1960,1961,1962
353,"The Cincinnati Reds, a Major League Baseball, became World Champions in what year?
",1975,1975,1977,1973,1970
354,"When did the Oakland Athletics win their first of three consecutive World Series?
",1972,1971,1969,1970,1972
355,"The Pittsburgh Pirates, nicknamed The Bucs, won  which World Series in the 1970s?
",1979,1978,1979,1977,1976
356,"In which World Series did the New York Yankees become world champions led by Mantle and Berra?
",1958,1957,1960,1959,1958
357,"The Milwaukee Braves won the World Series in what year?
",1957,1957,1954,1956,1955
358,"When did the New York Giants win the World Series over the Cleveland Indians?
",1954,1959,1951,1956,1954
359,"When did The New York Mets win their first World Series?
",1969,1968,1970,1973,1969
360,"When did the Los Angeles Dodgers win the fall classic led by Fernando Valenzuela?
",1981,1983,1982,1980,1981
361,"Which auto racing driver became the 2005 Nextel Cup Champion?
",Tony Stewart,Carl Edwards,Jimmie Johnson,Jeff Gordon,Tony Stewart
362,"Dale Earnhardt Jr., the son of NASCAR legend Dale Earnhardt, had how many wins in the 2005 NASCAR season?
",1,5,4,2,1
363,"Racing driver Jeff Gordon failed to qualify for Chase for the Nextel Cup in 2005.
",True,True,False,,
364,"This professional NASCAR driver, winner of the 1989 Winston Cup Championship, retired after the 2005 NASCAR Nextel Cup season.
",Rusty Wallace,Mark Martin,Rusty Wallace,Ricky Rudd,Ken Schrader
365,"This NASCAR Nextel Cup Series and Busch Series driver won the 2005 Golden Corral 500.
",Carl Edwards,Tony Stewart,Bobby Labonte,Jimmie Johnson,Carl Edwards
366,"Mike Schmidt starred with the Phillies at what position?
",Third Base,Catcher,Shortstop,Pitcher,Third Base
367,"Probably the greatest player of all time at his position, Johnny Bench was elected to the Hall of Fame in 1989.
",Catcher,Catcher,Left Field,Shortstop,Right Field
368,"Brooks Robinson was considered the human vacuum cleaner at his position.
",Third Base,First Base,Shortstop,Third Base,Second Base
369,"Joe Morgan became an instant star when he was traded to the Reds. What was his position?
",Second Base,Third Base,Catcher,Second Base,Center Field
370,"While playing with different teams throughout his career, Eddie Murray was great at what position mostly with the Orioles?
",First Base,First Base,Left Field,Center Field,Second Base
371,"George Herman Ruth, better known as the Babe, usually played this position.
",Right Field,Catcher,Left Field,Right Field,Center Field
372,"Hammerin Hank Aaron primarily played which of these positions?
",Right Field,Shortstop,Right Field,Second Base,Pitcher
373,"While starting his career with the Red Sox, it was with the Yankees that Wade Boggs won the World Series. Where did you usually see Wade play?
",Third Base,Left Field,Third Base,Shortstop,Right Field
374,"Kansas City Royalss player George Brett starred at this position.
",Third Base,Catcher,Third Base,Pitcher,Center Field
375,"Roy Campanella starred for the Brooklyn Dodgers during the 1950s at which position?
",Catcher,Second Base,First Base,Catcher,Designated Hitter
376,"This player was the Hall of Fame first baseman for the Minnesota Twins.
",Harmon Killebrew,Hank Aaron,Ken Stabler,Jeff Bagwell,Harmon Killebrew
377,"Which Hall of Famer played first base with the Cincinnati Reds?.
",Tony Perez,Tony Perez,Bill Madlock,John Roseboro,Bill Maddox
378,"This first baseman, member of the Hall of Fame, was a main cog of the New York Yankees.
",Lou Gehrig,Lou Gehrig,Mickey Mantle,Babe Ruth,Yogi Berra
379,"This Hall of Famer played primarily for the Baltimore Orioles at first base.
",Eddie Murray,Tony Perez,Al Newton,Eddie Murray,Jim Palmer
380,"This power hitting Hall of Famer played at first base primarily with the San Francisco Giants.
",Willie McCovey,Juan Marichal,Willie Mays,Bobby Bonds,Willie McCovey
381,"This Hall of Famer played for The Philadelphia Athletics from 1925 to 1935.
",Jimmie Foxx,Connie Mack,Roger Breece,Jimmie Foxx,Clay Jointer
382,"Which Hall of Fame first baseman played for the Chicago Cubs?
",Frank Chance,Tom Stephens,Frank Chance,Sammy Sosa,Ron Santo
383,"Which of these Hall of Famers played first base for the Detroit Tigers?
",Hank Greenberg,Alan Trammel,Hank Greenberg,Denny McLain,Al Kaline
384,"This Hall of Fame first baseman played with the New York Giants from 1923 to 1936 and was their manager in the period 1932-1941.
",Bill Terry,Jimmy Flowers,Bob Schultes,Bill Terry,Rocky Nelson
385,"Which of these Hall of Famers was first baseman for the San Francisco Giants?
",Orlando Cepeda,Willie Mayes,Bobby Sutter,Jocko Thomas,Orlando Cepeda
386,"One of these is an unusual hazard on the golf course.
",Ice,Ice,Water,Sand,Trees
387,"Golf originated in this country.
",Scotland,Ireland,England,Scotland,Wales
388,"The Legend of Bagger Vance (2000) is a popular Hollywood production, depicting the story of a fictional golf player who had lost his swing and found it again. Who played his role?
",Matt Damon,Will Smith,Dustin Hoffman,Brad Pitt,Matt Damon
389,"The 19th hole is the colloquial term for the platform where golf players receive their awards.
",False,False,True,,
390,"The putting green refers to this.
",The area around the actual hole,The area where the ball is first hit (starting position),"The area around water hazards like ponds, lakes, etc.",The area around the actual hole,The area around sand traps
391,"Par is the theoretical number of strokes that an expert golfer should require for playing the ball into any given hole. If the distance from the starting position to the hole is 225 m - 434 m, then the par is this.
",4,5,3,6,4
392,"A handicap is a numerical measure of an amateur golfers ability.
",True,True,False,,
393,"Can players change their balls during the game?
",Yes,No,Yes,,
394,"The Atlanta Braves traded Doyle Alexander to the Detroit Tigers on August 12, 1987, for which player?
",John Smoltz,John Smoltz,Tom Glavine,Greg Maddux,Steve Avery
395,"It is widely known that the New York Mets traded Tom Seaver on June 15, 1977. Who else did the Mets trade that same day?
",Dave Kingman,Joe Torre,Bobby Valentine,Dave Kingman,Doug Flynn
396,"In June 1964 the St. Louis Cardinals traded Bobby Shantz, Ernie Broglio and Doug Clemens to the Chicago Cubs for which future Hall of Famer?
",Lou Brock,Bob Gibson,Lou Brock,Ernie Banks,Ryne Sandberg
397,"After the 1981 season, the St. Louis Cardinals and the San Diego Padres swapped which shortstops?
",Ozzie Smith and Garry Templeton,Ozzie Smith and Royce Clayton,Jose Oquendo and Jerry Royster,Garry Templeton and Dave Concepcion,Ozzie Smith and Garry Templeton
398,"The New York Yankees got pitcher Bob Sykes in return for this two time batting champion.
",Willie McGee,Fred McGriff,Jay Buhner,Bill Madlock,Willie McGee
399,"The Philadelphia Phillies gave up on this Hall of Famer after just 13 games, trading him to the Chicago Cubs for Ivan DeJesus.
",Ryne Sandberg,Ryne Sandberg,Scott Rolen,Billy Williams,Ron Cey
400,"Legendary slugger Babe Ruth was once traded by the Boston Red Sox to the New York Yankees for Charley Root.
",False,True,False,,
401,"This southpaw was traded by the Yankees for Roger Clemens.
",David Wells,Terry Forster,Fernando Valenzuela,Sid Fernandez,David Wells
402,"Pete Rose was traded once in his career for which of these players?
",Tom Lawless,Bob Boone,Tom Lawless,Tim Flannery,Tim Foli
403,"After the 1974 season, the Milwaukee Brewers traded Dave May and Roger Alexander for this slugger.
",Henry Aaron,Robin Yount,Gorman Thomas,Willie Mays,Henry Aaron
404,"This box-office heavyweight has portrayed numerous athlete-heroes in his movie career, but in real life his favorite competitive sport is auto racing.
",Paul Newman,Woody Allen,Robert Redford,Paul Newman,Tom Cruise
405,"Before he won the world welterweight boxing championship, and long before he had any acting experience, Brooklyns Mark Breland was tapped to debut in this military-school drama.
",The Lords of Discipline,The Lords of Flatbush,Taps,Lords of Dogtown,The Lords of Discipline
406,"What are the common links connecting the Boston Red Sox, the film Capote and the TV series Homicide?
","The sister of a Red Sox executive produced Homicide, and her husband wrote Capote.",The movie and TV show included major scenes in Fenway Park.,The movie and show were produced by Ted Williams nephew.,"The sister of a Red Sox executive produced Homicide, and her husband wrote Capote.",Truman Capote looked divine in red.
407,"Which popular author and screenwriter is also widely known as a devoted Red Sox fan and has co-written a book entitled Faithful: Two Diehard Boston Red Sox Fans Chronicle the Historic 2004 Season?
",Stephen King,F. Scott Fitzgerald,John Grisham,W.P. Kinsella,Stephen King
408,"Which leading man in a popular TV Western series briefly played both professional baseball and basketball?
",Chuck Connors,Chuck Connors,Lorne Greene,Dennis Weaver,James Arness
409,"Former UCLA and Rams lineman Woody Strode fought a brief but memorable arena battle as a gladiator in what famous movie?
",Spartacus,The Professionals,Gladiator,Ben Hur,Spartacus
410,"After reigning as the world light-heavyweight boxing champion from 1932-34, this pugilist proceeded to transform himself  into one of the first and most successful athletes-turned-actors in Hollywood history.
",Maxie Rosenbloom,Maxie Rosenbloom,"Max Baer, Sr",Max Headroom,"Max Baer, Jr."
411,"Among Hollywoods athletic box-office stars, this Florida boy probably boasts the most accomplished college-football career of any major movie star.
",Burt Reynolds,Burt Reynolds,PeeWee Herman,Kevin Costner,Tom Selleck
412,"Before he nailed down his macho movie career, this African-American actor was known on the gridiron as The Hammer. He played for the Oakland Raiders, then for the Kansas City Chiefs in the first-ever Super Bowl.
",Fred Williamson,Gary Coleman,Denzel Washington,Bernie Casey,Fred Williamson
413,"Which of these real-life jockeys, chosen as one of People Magazines 50 Most Beautiful People in 2003, played another real-life jockey in Seabiscuit?
",Gary Stevens,Julie Krone,Edgar Prado,Billy Barty,Gary Stevens
414,"First baseman Eddie Murray was a switch hitter.
",True,True,False,,
415,"Pete Rose only batted from the left side of the plate.
",False,False,True,,
416,"Baseball player Hank Aaron only swung the bat from the right side of the plate.
",True,False,True,,
417,"Babe Ruth was a switch hitter early in his career.
",False,True,False,,
418,"Former baseball player Johnny Bench was a switch hitter in the minor leagues.
",False,False,True,,
419,"Maury Wills was a right-handed hitter only for the Dodgers.
",False,True,False,,
420,"Mickey Mantle was considered the most powerful switch hitter of his generation.
",True,True,False,,
421,"Major League Baseball player Chipper Jones bats both left-handed and right-handed from the plate.
",True,True,False,,
422,"Thirteen-time Gold Glove Award winner Ozzie Smith batted from the left side of the plate only.
",False,True,False,,
423,"Willie Mays was a right-handed batter only while he played in the big leagues.
",True,True,False,,
424,"Which of these teams does not have the color blue in their logo?
",Atlanta Falcons,Atlanta Falcons,New York Islanders,Washington Capitals,Charlotte Bobcats
425,"The Kentucky Derby takes place yearly in Louisville, on which day?
",First Saturday in May,Fourth of July,First Saturday in May,Any day chosen by the owners,Midsummers Eve
426,"What is the distance, covered by the Kentucky Derby?
",Mile and one quarter,Mile and one quarter,Mile and one sixteenth,Two miles,Mile and a half
427,"Fillies are not allowed to run in the Kentucky Derby.
",False,False,True,,
428,"The thoroughbred horses that run at the Kentucky Derby must be at what age?
",Three years old,Two years old,Any age,Three years old,Yearlings
429,"The Kentucky Derby is held at which racetrack?
",Churchill Downs,Churchill Downs,Santa Anita,Aqueduct,Saratoga
430,"What other name was given to the Kentucky Derby?
",The Run for the Roses,The Run for Glory,The Fastest Two Minutes in Sport,The Run for the Roses,The Kentucky Speed Trial
431,"How many horses are allowed to run in the Kentucky Derby?
",20,15,20,18,Unlimited number
432,"The award for the top pitcher in each of the two major leagues is named after which Hall of Fame pitcher?
",Cy Young,Cy Young,Don Drysdale,Tom Seaver,None Of These
433,"Hall of Fame pitcher Tom Seaver started his career with the Chicago Cubs.
",False,False,True,,
434,"Did Nolan Ryan ever pitched for the New York Mets?
",Yes,No,Yes,,
435,"Steve Carlton was best known by his nickname Lefty.
",True,True,False,,
436,"Which Hall of Fame pitcher was best known as Dizzy?
",Jay Dean,Bill Dean,Jay Dean,Paul Dean,Don Dean
437,"Rapid Robert Feller spent his entire 18-year career with the Cleveland Indians.
",True,False,True,,
438,"Which team did Dennis Eckersley start his career with?
",Cleveland Indians,Oakland As,Cincinnati Reds,Cleveland Indians,San Diego Padres
439,"Was Whitey Ford known as the chairman of the board for the New York Yankees?
",Yes,Yes,No,,
440,"The only team Bob Gibson played for while in the major leagues was the St. Louis Cardinals.
",True,False,True,,
441,"In which city did Jim Catfish Hunter start his major league career?
",Kansas City,San Diego,Baltimore,Cincinnati,Kansas City
442,"In 1996, this golf player, known as The Golden Bear, became the first person in the history of the PGA to win the same Senior PGA Tour event four times.
",Jack Nicklaus,Jack Nicklaus,Jesper Parnevik,Ben Hogan,Tiger Woods
443,"In golf, a caddie is the person who carries a players bag.
",True,False,True,,
444,"In golf, this type of shot is the first shot played from a teeing ground and is usually made with a driver.
",tee shot,chip,bunker shot,tee shot,flop
445,"What NFL teams logo is a horseshoe?
",Colts,Bears,Ravens,Colts,Falcons
446,"What NFL football team won the first two Super Bowls in a row?
",Green Bay Packers,Atlanta Falcons,Carolina Panthers,New England Patriots,Green Bay Packers
447,"The New England Patriots used to be called the San Diego Patriots.
",False,True,False,,
448,"The Miami Dolphins had the worst record in 2007.
",True,True,False,,
449,"What NFL team went 16-0 for the 2007 season and lost to the New York Giants in the Super Bowl?
",New England Patriots,New York Jets,New England Patriots,The Green Bay Packers,Carolina Panthers
450,"What NFL football team has a lightening bolt logo?
",San Diego Chargers,San Diego Chargers,Atlanta Falcons,New York Giants,St. Louis Rams
451,"Who played quarterback for the New York Jets from 2000-2008?
",Chad Pennington,Dan Marino,Chad Pennington,Brett Farve,Tom Brady
452,"Who was running back for the Atlanta Falcons from 2002-2007?
",Warrick Dunn,Warrick Dunn,Cory Dillion,Shaun Alexander,Tiki Barber
453,"What NFL wide receiver was drafted by the Colts in 1996?
",Marvin Harrison,Jerry Rice,Terrell Owens,Pearless Price,Marvin Harrison
454,"What NFL football team had the second to worst record in 2007?
",St. Louis Rams,The Tennessee Titans,Green Bay Packers,Atlanta Falcons,St. Louis Rams
455,"He played for the Boston Bruins from 1966 to 1976.  On May 10, 1970 he scored an amazing goal diving through the air after being tripped, giving Boston its first Stanley Cup in 29 years.
",Bobby Orr,Phil Espeszito,Wayne Greztky,Gordie Howe,Bobby Orr
456,"This former professional ice hokey player, known as The Great One, is widely accepted as the greatest player to ever play the game of hockey.
",Wayne Gretzky,Wayne Gretzky,Bobby Orr,Paul Kariya,Mike Modano
457,"Who was the last hockey player to be cut from the 1980 USA Olympic team by coach Herb Brooks, and what college team did he play for?
",Ralph Cox - UNH,Ralph Ocallahan - UNH,Ralph Ocallahan - BU,Ralph Cox - UNH,Ralph Cox - BU
458,"Generally regarded as one of the greatest hockey players of all time, Gordie Howe (aka Mr. Hockey) made his NHL debut in 1976 at the age of 18.
",False,False,True,,
459,"What was the first Asian city to host the Olympics, in 1964?
",Tokyo,Seoul,Tokyo,Nagano,Sapporo
460,"Which city hosted the first modern Olympiad in 1896?
",Athens,Athens,Rome,Paris,Moscow
461,"Where were the winter Olympics held in 1960, the first time the host country won the gold medal in ice hockey?
",Squaw Valley,Oslo,Squaw Valley,Calgary,Lake Placid
462,"In what year did Berlin host the Olympics, allowing Germany to use the event as a Nazi propaganda tool?
",1936,1944,1932,1936,1940
463,"Which city hosted the first Olympics not held in a leap year?
",Paris,Paris,Nagano,Lillehammer,Sydney
464,"Ice hockey was first played in the 1920 Olympics, which were held in what city?
",Antwerp,Montreal,Antwerp,Chamonix,Lake Placid
465,"Of the following countries, which one did NOT host both the winter and summer Olympics in the same year?
",Japan,France,Germany,Japan,United States
466,"In 1970, the American city of Denver was selected to host the 1976 winter Olympics, but the Games were moved to Innsbruck instead. Why?
",Coloradans voted not to pay the expenses associated with hosting the Olympics.,A massive strike by construction workers made it impossible to finish all the facilities in time.,The International Olympic Committee rescinded their decision when proof of bribery came to light.,Several countries threatened to boycott the games because of the U.S. involvement in Vietnam.,Coloradans voted not to pay the expenses associated with hosting the Olympics.
467,"When were the Olympics held south of the equator?
",1956 and 2000,Never,1996 and 2000,1952 and 2004,1956 and 2000
468,"No communist country has ever hosted the Olympics.
",False,False,True,,
469,"Which city has been chosen to host the 2012 Olympics, thus becoming the first three-time Olympic host city?
",London,Paris,Innsbruck,London,Los Angeles
470,"What city was awarded the 1920 Olympics to honor the suffering that had been inflicted on the Belgian people during World War I?
",Antwerp,Charleroi,Gent,Antwerp,Brussels
471,"What city hosted the first womens Olympic marathon in 1984?
",Los Angeles,Los Angeles,Rome,Barcelona,Montreal
472,"In which city did a 2002 figure skating judging scandal result in the awarding of two Olympic gold medals?
",Salt Lake City,Lillehammer,Calgary,Salt Lake City,Innsbruck
473,"Which citys retractable dome stadium wasnt completed in time for the 1976 Olympics due to a construction strike?
",Montreal,Munich,Seoul,Moscow,Montreal
474,"In which city did a bomb explode during the 1996 Olympics, resulting in two deaths?
",Atlanta,Atlanta,Munich,Nagano,Moscow
475,"What 1968 Olympic citys altitude was responsible for many track and field records being broken because of the rarefied air?
",Mexico City,Helsinki,Rome,Denver,Mexico City
476,"In what city did the same skier win all three Olympic alpine events for the first time in history, in 1956?
",Cortina DAmpezzo,Torino,Cortina DAmpezzo,Oslo,Grenoble
477,"What city hosted the 1998 debut of snowboarding as an official Olympic sport?
",Nagano,Albertville,Torino,Nagano,Salt Lake City
478,"Which previous Olympic city hosted the equestrian events of 1956, five months before the rest of the games took place in Melbourne?
",Stockholm,St. Louis,Amsterdam,Stockholm,Helsinki
479,"What city hosted the first Olympics to include the U.S.S.R., in 1952?
",Helsinki,Melbourne,Amsterdam,Rome,Helsinki
480,"Which of the following events marred the 1972 summer Olympics in Munich?
",Eleven Israeli athletes were killed after being kidnapped by Palestinian terrorists.,Three boxing judges were accused of bribery after they awarded the decision to a South Korean light middleweight who was dominated by his American opponent.,The quarters of several Austrian athletes were raided as part of a massive doping investigation.,"The marathon winner was found to have run only a portion of the race, hitching a ride for several miles before returning to the course.",Eleven Israeli athletes were killed after being kidnapped by Palestinian terrorists.
481,"Where were the summer Olympics held in 1992, when a black African woman won a gold medal for the first time?
",Barcelona,Los Angeles,Amsterdam,Sydney,Barcelona
482,"The 1960 Summer Olympics, the first to be fully covered by television, were held in which city?
",Rome,Grenoble,Tokyo,Innsbruck,Rome
483,"What city hosted the Olympics in 1994, only two years after the previous games were held?
",Lillehammer,Atlanta,Albertville,Lillehammer,Barcelona
484,"American professional wrestler Kane is Undertakers step-brother in real life besides in the show.
",False,True,False,,
485,"Where is professional wrestler Dave Finlay from?
",Ireland,"Atlanta, Georgia",Ireland,"Omaha, Nebraska",North Carolina
486,"What is the real name of WWE superstar Viscera?
",Nelson,Mike,None of these,Nelson,Mable
487,"In 2003, professional wrestler Triple H officially married Stephanie McMahon.
",True,True,False,,
488,"Where is WWEs headquarters?
","Stamford, Connecticut","Stamford, Connecticut","L.A., California","Hartford, Connecticut","New York, New York"
489,"Which of these ladies dated both Matt Hardy and Edge?
",Amy Dumas,Amy Dumas,Codi Davis,Laura Bush,Trish Stratus
490,"Why did professional wrestler Stacy Keibler retire from wrestling?
",She wanted to have a social life and move on to other endeavors.,She didnt like the fame anymore.,She wanted to have a social life and move on to other endeavors.,"She really wanted to dance, and take a break.",She didnt quit.
491,"Which WWE star has used the ring names Vampiro Americano, Death Mask and Johnny Hawk?
",JBL,JBL,Bret Hart,Cena,HHH
492,"Professional wrestler Lita was really pregnant in 2004.
",False,False,True,,
493,"Which professional wrestler was the very first WWF heavyweight champion of Latino descent?
",Pedro Morales,Eddie Guerrerro,Rey Mysterio,Pedro Morales,Tito Santana
494,"Former professional wrestler Brett The Hitman Hart was a six-time WWE heavyweight champion.
",False,False,True,,
495,"This former professional wrestler introduced the Undertaker to the WWF at the 1990 Survivor Series.
",Ted Million Dollar Man Dibiase,Slick,Ted Million Dollar Man Dibiase,Captain Lou Albano,Paul Bearer
496,"Professional wrestler Ric Flair, better known by the ring name The Nature Boy was involved in what kind of accident in 1975?
",plane accident,car accident,jet-ski accident,motorcycle accident,plane accident
497,"In 1987, former AWA World Champion Rick Martel formed the tag team Strike Force with which wrestler?
",Tito Santana,Tony Garea,None of these,Tom Zenk,Tito Santana
498,"Terry Funk won the NWA world title in 1975.
",False,True,False,,
499,"Professional wrestler Cheif Jay Strongbow had a partner whose neck was broken by Ken Patera. What was his name?
",Billy White Wolf,Jay Youngblood,Jules Strongbow,Billy White Wolf,Wahoo Mcdaneil
500,"Former professional wrestler Bob Backlund has held the WWF/WWE world title how many times?
",3 times,2 times,1 time,3 times,5 times
501,"Abe was the originator, owner, and player for the Harlem Globetrotters.   What was Abes last name?
",Saperstein,Saperstein,Davis,Mikan,Davidson
502,"Nicknamed The Chief, he was a great basketball center, who played for many years.
",Robert Parrish,Dennis Johnson,Walt Bellamy,JoJo White,Robert Parrish
503,"She was the first woman to sign a contract with a National Basketball Association team, the Indiana Pacers.  She was also the first player to be part of the U.S. National team while still in high school.
",Ann Meyers,Cheryl Miller,Nancy Lieberman,Carol Blazejowski,Ann Meyers
504,"This former U.S. Senator and presidential candidate was inducted into the Basketball Hall of Fame in 1982.
",Bill Bradley,Byron (Whizzer) White,Tom McMillan,Marv Levy,Bill Bradley
505,"Which one of these players has been enshrined in the Basketball Hall of Fame both as a player and coach?
",Lenny Wilkins,Nat Holman,Red Holtzman,Red Auerbach,Lenny Wilkins
506,"This basketball player, who played for the Harlem Globetrotters, had amazing ball-handing abilities -- he would often dribble long enough for other players to rest.
",Marques Haynes,Darren McCune,Marques Haynes,Larry Big Hands Culpepper,Bill The Hill McGill
507,"He developed basketball as a five-player sport while a faculty member of Springfield College.
",Amos Alonzo Stagg,Joe Namath,Amos Alonzo Stagg,Dr. James Naismith,Rodney Duff
508,"This basketball Hall Of Famer was known for 22 years, as the Clown Prince of the Globetrotters, a team upon which he left his mark as a player. His first name was Meadowlark . What is his last name ?
",Lemon,Lemon,Watkins,Johnson,McCoy
509,"How many professional American football teams were there at the end of the 1920 season?
",14,14,30,5,15
510,"When was the first Pro Bowl game held?
",1939,1955,1935,1939,1970
511,"Which teams played in the first Super Bowl?
",Kansas City and Green Bay,Kansas City and Green Bay,Chicago and New York,Chicago and Boston,Green Bay and New York
512,"American football teams can use their allotted timeouts however they want.
",False,True,False,,
513,"The Green Bay Packers have won two consecutive Super Bowl games.
",True,False,True,,
514,"There can only be 10 American football players on the field at a time, while a play is live.
",False,False,True,,
515,"The Detroit Red Wings were among the Original Six members of the National Hockey League .
",True,False,True,,
516,"The Detroit Red Wings won their first Stanley Cup, after defeating the Toronto Maple Leafs in what year?
",1936,1934,1959,1925,1936
517,"Who scored the game winning goal for the Detroit Red Wings in the 1950 Stanley Cup finals?
",Pete Babando,Pete Babando,Tommy Ivan,Jimmy Skinner,Metro Prystai
518,"Former Detroit Red Wings head coach Scotty Bowman started his coaching career in the NHL as head coach of the St. Louis Blues.
",True,True,False,,
519,"Did Steve Yzerman play in the 2006 Winter Olympics for the Canadian ice hockey team?
",No,No,Yes,,
520,"How many Detroit Red Wings players won gold medals in mens hockey in the 2006 Winter Olympics?
",5,3,4,2,5
521,"In 2002, this former ice hockey defenseman became head coach of the Detroit Red Wings, after the retirement of Scotty Bowman.
",Dave Lewis,Mike Babcock,Mike Ilitch,Scotty Bowman,Dave Lewis
522,"In 1950, this NHL team scored a game-winning goal in overtime of game seven, Stanley Cup Finals.
",The Detroit Red Wings,The Chicago Blackhawks,The Montreal Canadiens,The Boston Bruins,The Detroit Red Wings
523,"The motto of  the oldest established National Hockey League franchise, The Montreal Canadiens is:  To you from failing hands we throw the torch. Be yours to hold it high.
",Yes,No,Yes,,
524,"In 2002, the Detroit Red Wings won their tenth Stanley Cup, led by which coach?
",Scotty Bowman,Mike Babcock,Dawe Lewis,Scotty Bowman,Wayne Maxner
525,"In what year did the Chicago Cubs win their first World Series?
",1907,1908,1945,1932,1907
526,"Which was the first ballpark in which the Chicago Cubs played in the national league?
",23rd Street Grounds,23rd Street Grounds,South Side Park,Wrigley Field,West Side Grounds
527,"In 2003 the Chicago Cubs retired the jersey of which player?
",Ron Santo,Ron Santo,Ernie Banks,Billy Williams,Ryne Sandberg
528,"Which manager of the Chicago Cubs was named Manager of the Year in 1989?
",Don Zimmer,Dusty Baker,Don Baylor,Jim Frey,Don Zimmer
529,"Which Chicago Cubs player won the MVP award in back to back seasons?
",Ernie Banks,Ernie Banks,Ryne Sandberg,Andre Dawson,Sammy Sosa
530,"Ron Santo, who played almost his entire career with the Chicago Cubs, was named a National League All-Star how many times?
",nine,eleven,ten,nine,eight
531,"Dale Earnhardt Sr. is the first driver to win Rookie of the Year and a NASCAR championship in consecutive years.
",True,True,False,,
532,"Dale Earnhardt drove for several owners. Which owner was he driving for when he won his first NASCAR championship?
",Rod Osterland,Rod Osterland,Wood Brothers,Bud Moore,Richard Childress
533,"In 1998, every crew member of every team formed a line to shake the hand of race car driver Dale Earnhardt on his way to Victory Lane. He had finally won the one big race that had eluded him for twenty years. What was the race?
",Dayton 500,Charlotte 600,Talldageda,Dayton 500,Firecracker 400 at  Darlington
534,"Which of these was not one of Dale Earnhardts nicknames?
",Ironheart,The Man in Black,The Intimidator,Ironhead,Ironheart
535,"Dale Earnhardts death led to more safety features added to race cars to improve a drivers chance to escape harm. Which one was not a safety feature added as a result of his death?
",Restrictor Plates,Roof and Hatch Escape,Head and Neck Restraints HANS,Restrictor Plates,SAFFR Barrier
536,"Dale Earnhardt appeared on the David Letterman show to reveal the ten reasons it took twenty years 
",r him to win the Daytona 500. What was the number one reason?,It took me 19 years to figure I had the emergency brake on.,Who cares it took 20 years - at least my name isnt Dick Trickle.,It took me 19 years to figure I had the emergency brake on.,I finally rotated and balanced my mustache.
537,"It was on this track that Dale Earnhardt Sr. had his 76th and last career win. He was in 18th
",ace on a restart and charged through traffic to take the checkered flag in 5 laps.,Talladega,Rockingham,Charlotte,Atlanta
538,"Yogi Berra wore number 8 while catching and playing the outfield for the Yankees.
",True,False,True,,
539,"Baseball player Reggie Jackson was nicknamed Mr. October.
",True,True,False,,
540,"Lou Gehrig primarily pitched for the Yankees.
",False,False,True,,
541,"Mickey Mantle was a rookie in 1951.
",True,True,False,,
542,"Jack Chesbro won 41 games for New York in one season.
",True,False,True,,
543,"Tony Lazzeri starred at shortstop for the 1927 Yankees.
",False,False,True,,
544,"Bill Dickey wore number 8 when he played for the New York Yankees.
",True,True,False,,
545,"One of Babe Ruths nicknames was The Bambino.
",True,False,True,,
546,"Whitey Ford is considered the Yankees greatest right-handed pitcher of all time.
",False,True,False,,
547,"Joe Dimaggio was known as The Yankee Clipper and Joltin Joe.
",True,False,True,,
548,"Wilt The Stilt Chamberlain became the first NBA player who has scored 100 points in a single game. Against which team did he score the 100 points?
",The New York Knicks,The Fort Wayne Pistons,The Chicago Bulls,The New York Knicks,The Saint Louis Hawks
