,Questions,Correct,A,B,C,D
490,"When US troops reached Europe to join the fighting in World War One, they had to learn quickly how to fight this type of warfare.
",nearly static trench warfare,air warfare which completely dominated the battlefield as well as the air.,nearly static trench warfare,armored warfare,mobile warfare using cavalry and fast moving foot soldiers
491,"US forces played a major part in stopping the final great German offensive of World War One partly by stopping the German advance at this location.
",Chateau-Thierry,Paris,Chateau-Thierry,Verdun,the Somme
492,"What future US President fought as an artillery captain in World War One?
",Harry Truman,Franklin Roosevelt,Calvin Coolidge,Harry Truman,Herbert Hoover
493,"Most Americans were angry when they heard about the Zimmerman Telegram.  What did the German foreign minister promised Mexico in this telegram?
",territory in the southwest United States which had once been Mexican territory if Mexico would form an alliance with Germany against the US,None of these,a large reward in gold which would be part of the indemnity the Allies would pay after the German victory (which of course did not occur) if Mexico declared war on the US,the latest submarine technology in return for German Submarine bases in Mexico,territory in the southwest United States which had once been Mexican territory if Mexico would form an alliance with Germany against the US
494,"A revolution in one of the main powers eventually forced that nation to drop out of World War One. Fortunately for the Allies the entry of the US largely made up for the loss of this nation. What was the nation?
",Russia,Russia,France,Irish Free State,Italy
495,"This horror film, which focuses on a love triangle, marked Tony Scotts directorial debut.
",The Hunger,Revenge,The Hunger,Crimson Tide,Top Gun
496,"What do directors Tony Scott and Sir Ridley Scott have in common?
",They are brothers.,They are brothers.,They are cousins.,They are not related.,They are father and son.
497,"What thriller set in Mexico and directed by Tony Scott, starred Kevin Costner, Madeleine Stowe and Anthony Quinn?
",Revenge,Days of Thunder,Man on Fire,Revenge,The Hunger
498,"Director Tony Scott stated that while making this movie, he stole from all race movies to date ... then tried to build on them.
",Days of Thunder,The Taking of Pelham 123,Days of Thunder,The Fan,The Last Boy Scout
499,"Which of the following Tony Scott movies does NOT star Denzel Washington?
",Spy Game,Unstoppable,Crimson Tide,The Taking of Pelham 123,Spy Game
500,"Two days prior to his death, Tony Scott was with this actor exploring locations for a sequel to Top Gun.
",Tom Cruise,Val Kilmer,John Travolta,Anthony Edwards,Tom Cruise
501,"In 2010, Tony Scott and Ridley Scott produced the feature film adaptation of this action-adventure television series about fictional soldiers of fortune.
",The A-Team,Smallville,Doctor Who,24,The A-Team
502,"What 1998 conspiracy thriller directed by Tony Scott was the highest grossing movie of the 1990s?
",Enemy of the State,All the Presidents Men,The Bourne Identity,Spy Game,Enemy of the State
503,"Who stars as a private eye and former Secret Service agent in Tony Scotts action movie The Last Boy Scout?
",Bruce Willis,Russell Crowe,Mel Gibson,John Travolta,Bruce Willis
504,"What 2010 action thriller, starring Denzel Washington and Chris Pine, was the last movie directed by Tony Scott?
",Unstoppable,DÃ©jÃ  Vu,The Taking of Pelham 123,Unstoppable,The Fan
505,"What Roman Emperor, who ruled from 54 to 68, ordered ice to be brought from the mountains and combined it with fruit toppings?
",Nero,Vespasian,Nero,Caligula,Augustus
506,"What famous explorer is credited with bringing to Italy the technique of making ice cream?
",Marco Polo,Pietro di Brazza,Marco Polo,Amerigo Vespucci,Christopher Columbus
507,"When this historical figure married the Duke of OrlÃ©ans (Henry II of France) in 1533, she brought with her to France some Italian chefs who had recipes for flavoured ices or sorbets.
",Catherine de Medici,Margaret of Valois,Marie Antoinette,Catherine de Medici,Marie de MÃ©dici
508,"It is generally accepted that the name of the ice cream dessert sundae originated from which of the following words?
",Sunday,sundries,sunny day,sunrise,Sunday
509,"Gelato, which is made with milk, cream, sugar, fresh fruit and nut purees, originated in this country.
",Italy,Italy,Finland,Spain,The UK
510,"The Peach Melba was named in honor of Australian soprano Nellie Melba, who in 1892 was performing in Wagners opera Lohengrin at Covent Garden. The French chef at the Savoy Hotel, London created the new dessert, and to display it, he used an ice sculpture of what animal?
",swan,dolphin,swan,snake,horse
511,"Which of the following frozen desserts does NOT contain dairy ingredients?
",sorbet,Melba,sorbet,gelato,frozen custard
512,"What French Enlightenment writer, historian and philosopher made the following remark about ice cream: Ice-cream is exquisite. What a pity it isnt illegal.?
",Voltaire,Guy de Maupassant,Albert Camus,Voltaire,Blaise Pascal
513,"The mixture of shaved ice and evaporated milk, known as Halo-halo, originated in this country.
",The Philippines,Thailand,Japan,The Philippines,China
514,"What US First Lady served ice cream at her husbands second Inaugural Ball in 1813?
",Dolley Madison,Elizabeth Monroe,Abigail Adams,Dolley Madison,Louisa Catherine Adams
515,"What federation, based in Lausanne, Switzerland, governs competitive swimming?
",FINA,FINA,FITA,FIFA,FIBA
516,"What stroke is almost universally used during a freestyle swimming race?
",front crawl,breaststroke,front crawl,butterfly,back crawl
517,"In which of the two swimming strokes can the flip turn be used in competitions?
",free style and backstroke,backstroke and breast stroke,butterfly and breaststroke,butterfly and free style,free style and backstroke
518,"How many meters can be swum underwater in swimming races from the start and from each turn?
",15,15,20,10,5
519,"During which Olympics were swimming goggles first used?
",1976 Montreal,1976 Montreal,1984 Los Angeles,1980 Moscow,1906 Athens
520,"Australian Sydney Cavill is credited as the originator of this swimming stroke, which was first swum in competition in 1933 and is the newest of the four major strokes.
",butterfly,free style,breaststroke,backstroke,butterfly
521,"In what order are the strokes in Individual Medley swum?
","Butterfly, Backstroke, Breaststroke, Freestyle","Butterfly, Breaststroke, Freestyle, Backstroke","Freestyle, Backstroke, Butterfly, Breaststroke","Breaststroke, Backstroke, Butterfly, Free Style","Butterfly, Backstroke, Breaststroke, Freestyle"
522,"In a relay race, which swimmer is called an anchor?
",the one who swims last,the slowest,the second fastest,the one who swims first,the one who swims last
523,"Who is the first swimmer in history to have won eight gold medals in a single Olympics?
",Michael Phelps,Ian Thorpe,Matt Biondi,Michael Phelps,Johnny Weissmuller
524,"At the age of 14 she became the youngest-ever female Olympic champion in swimming. She is the first female swimmer to have ever won the same swimming event at 3 consecutive Summer Olympics.
",Krisztina Egerszegi,Kyoko Iwasaki,Krisztina Egerszegi,Franziska van Almsick,Jennifer Thompson
525,"What painter wrote the following lines to describe to his brother Theo how he composed a sky, The dark blue sky is spotted with clouds of an even darker blue than the fundamental blue of intense cobalt, and others of a lighter blue, like the bluish white of the Milky Way..?
",Vincent van Gogh,Henri Matisse,Mark Rothko,Vincent van Gogh,Auguste Renoir
526,"In what sci-fi comedy series is the Hooloovoo described as a superintelligent shade of the color blue that participated in the construction of the starship Heart of Gold?
",The Hitchhikers Guide to the Galaxy,The Time Machine,The Island of Doctor Moreau,The Hitchhikers Guide to the Galaxy,The War of the Worlds
527,"Who composed The Blue Danube waltz, which has become a sort of unofficial Austrian national anthem?
",Johann Strauss II,Wolfgang Amadeus Mozart,Johann Strauss II,FrÃ©dÃ©ric Chopin,Johannes Brahms
528,"The term blue blood was originally used to refer to the the pale skin and prominent blue veins of nobles from this country.
",Spain,Italy,Spain,England,France
529,"What expression was used in the 18th century for women who cared about culture and intellectual life and disregarded fashion?
",Bluestocking,Blue ribbon,Blue lace,Blue collar,Bluestocking
530,"Which of these popular types of cheese is not blue?
",Gouda,Roquefort,Gorgonzola,Gouda,Stilton
531,"What countrys National Football Team wear blue in honour of the royal House of Savoy which unified the country?
",Italy,Spain,Italy,The Netherlands,England
532,"What people of Africa are also known as the Blue People due to the indigo colour of their veils?
",The Tuareg,The Tuareg,The Amhara,The Hottentots,The Bushmen
533,"What blue movie is not correctly matched with the starring actors?
","Mickey Blue Eyes - Tom Cruise, Elizabeth Hurley","Mickey Blue Eyes - Tom Cruise, Elizabeth Hurley","Blue Thunder - Roy Sheider, Malcolm McDowell","My Blue Heaven - Steve Martin, Joan Cusack","Blue Velvet - Isabella Rossellini, Dennis Hopper"
534,"Where is the color blue located on the optical spectrum?
",between violet and green,between violet and green,between gray and green,between yellow and green,between black and red
535,"What disease is named after the main character of an epic poem by Italian physician and poet Girolamo Fracastoro?
",Syphilis,Rubella,Syphilis,Gonorrhea,Polio
536,"The word maverick refers to a person who refuses to abide by the dictates of a group and was derived from the name of Samuel Maverick. Who was he?
",a rancher who refused to brand his cattle despite the common practice at the time,a land agent who refused to lower rents,a man who illegally sold whiskey,a rancher who refused to brand his cattle despite the common practice at the time,a man who refused to pay taxes
537,"What technology term comes from the epithet of a king who united the tribes of Denmark into a single kingdom?
",Bluetooth,Bluetooth,Java,Mozilla,Linux
538,"What clothing item was named after a British Army Major General who commanded the Light Brigade during the Crimean War?
",cardigan,vest,sweater,pullover,cardigan
539,"What word supposedly originated from the name of a soldier who was ridiculed because of his excessive devotion to Napoleon?
",chauvinism,fervor,allegiance,patriotism,chauvinism
540,"What plant was named after a French ambassador who was sent to Portugal to negotiate the marriage of six-year-old Princess Marguerite de Valois?
",the tobacco plant (Nicotiana),hazel,basil,the tobacco plant (Nicotiana),willow
541,"The term masochism is derived from the name of Leopold von Sacher-Masoch, an Austrian writer who penned this novel.
",Venus in Furs,The 120 Days of Sodom,Guilty Pleasures,Venus in Furs,Quills
542,"What word originated from the name of a French finance minister whose name became eponymous with anything done or made cheaply?
",silhouette,silhouette,discount,profile,shade
543,"The term lynching derives from the name of Virginia planter Charles Lynch who headed an irregular court during this war.
",American Revolutionary War,Vietnam War,American Civil War,Mexicanâ€“American War,American Revolutionary War
544,"What snack was named after a British Earl was so keen on gambling that he would refuse to leave the table even to have a meal?
",sandwich,hamburger,bagel,pancake,sandwich
545,"What is the occupation of the beautiful and mysterious Catherine Tramell, who is the prime suspect in the thriller Basic Instinct?
",crime novelist,crime novelist,gay rights activist,architect,journalist
546,"In the movie L.A Confidential, Kim Basinger portrays a prostitute who is this actress look-alike.
",Veronica Lake,Veronica Lake,Lana Turner,Ava Gardner,Rita Hayworth
547,"In what movie does Milla Jovovich play a supreme humanoid being, who lands in the flying taxicab of a former major in the Special Forces?
",The 5th Element,The Matrix,Gattaka,The 5th Element,Seven
548,"In what movie does Lana Turners character entice drifter John Garfield into a web of deceit and murder?
",The Postman Always Rings Twice,Chinatown,The Postman Always Rings Twice,Double Indemnity,Fatal Attraction
549,"What actress plays a character who cuts her wrists in a suicide attempt, fakes a pregnancy, kidnaps a child and boils a pet bunny?
",Glen Close,Glen Close,Kathleen Turner,Rebecca De Mornay,Sharon Stone
550,"In the silent movie Flesh and the Devil, this actress stars as a countess whose devastating allure drives men to ruin.
",Greta Garbo,Kim Novak,Vivian Lee,Marlene Dietrich,Greta Garbo
551,"The movie Original Sin stars Angelina Jolie as a cunning con-woman who tricks a wealthy businessman into marriage. In what country is the movie mostly set?
",Cuba,Mexico,England,Brazil,Cuba
552,"What movie stars Gloria Swanson as faded film star Norma Desmond who lures an aspiring screenwriter into her world of delusions?
",Sunset Boulevard,Body Heat,Sunset Boulevard,The Woman in the Window,Vertigo
553,"The story of the movie Black Widow involves two women - a femme fatale (Theresa Russel) who preys on wealthy middle-aged men and a detective who grows obsessed with bringing her to justice. Who plays Justice Department agent Alexandra Barnes?
",Debra Winger,Rebecca De Mornay,Geena Davis,Kathleen Turner,Debra Winger
554,"What happened to Nikita before she got transformed from a degenerate drug addict to a femme fatale into Luc Bessons self-titled thriller?
",She was sentenced to life in prison.,She attempted suicide.,She married  a secret agent.,She was raped.,She was sentenced to life in prison.
555,"A man was in his home, looking at a photograph. He used the following words to describe one particular person in that photograph. Brothers and sisters I have none: But that mans father is my fathers son. Who was he talking about?
",Himself,His son,His father,His grandfather,Himself
556,"The Diamond Jubilee of Queen Elizabeth II marked the 60th anniversary of her accession to the throne. Who is the only other monarch in the history of the United Kingdom to have celebrated a Diamond Jubilee?
",Queen Victoria,Queen Victoria,King Henry VIII,King George VI,Queen Elizabeth I
557,"In 1947, Elizabeth II married Prince Philip who was a member of this countrys royal family.
",Greece,Denmark,Austria,Greece,Russia
558,"Who of the following was NOT Prime Minister of the UK under Elizabeth II?
",Clement Attlee,David Cameron,Clement Attlee,Margaret Thatcher,Winston Churchill
559,"Queen Elizabeth II is known for her love of these dogs and is known to have at least four of them in her retinue.
",Welsh Corgi,Golden Retriever,Dachshund,Welsh Corgi,Wire Fox Terrier
560,"All of which unmarked birds in England are owned by Queen Elizabeth II?
",mute swans,pigeons,ducks,ravens,mute swans
561,"Why did Queen Elizabeth II refer to 1992 as her annus horribilis (horrible year)?
",It marked the breakdown of her childrens marriages.,Prince Harry was expelled from school.,It marked the breakdown of her childrens marriages.,Her mother and sister died in 1992.,Princes Diana died in a car crash in 1992.
562,"Upon her accession to the throne, Elizabeth II became Head of the Commonwealth and queen regnant of seven independent Commonwealth countries. Which of these countries does not recognize her as queen?
",India,Pakistan,Canada,Australia,India
563,"Upon the death of her father, Elizabeth II was staying at the Treetops Hotel, built into the tops of the trees of the Aberdares National Park. In what country was Elizabeth II when she went up a princess and came down a queen?
",Kenya,Jamaica,Australia,The Dominican Republic,Kenya
564,"What Academy Award-winning actress portrays Queen Elizabeth II in the British drama The Queen, which depicts a fictional account of the events following the death of Princess Diana?
",Helen Mirren,Anjelica Houston,Helena Bonham Carter,Helen Mirren,Meryl Streep
565,"Queen Elizabeths official birthday has generally been celebrated on a selected day around the end of May to the start of June. In what month is her actual birthday?
",April,April,July,November,March
566,"In this ballet a young man, named Franz, becomes infatuated with a life-size dancing doll.
",Coppelia,The Nutcracker,Giselle,Swanhilda,Coppelia
567,"What ballet tells the story of a peasant girl whose ghost protects her lover after her premature death?
",Giselle,The Nutcracker,Giselle,Swan Lake,La Sylphide
568,"The Lilac Fairy and Carabosse represent the two main conflicting forces of good and evil in this famous ballet by Pyotr Tchaikovsky.
",The Sleeping Beauty,Swan Lake,The Sleeping Beauty,Romeo and Juliet,The Nutcracker
569,"What ballet features a battle between an army of Gingerbread man soldiers and the mice, led by the Mouse King?
",The Nutcracker,La Bayadere,The Nutcracker,Giselle,La Sylphide
570,"The music to which of these ballets was not composed by Pyotr Ilyich Tchaikovsky?
",Don Quixote,Swan Lake,The Nutcracker,Don Quixote,Sleeping Beauty
571,"What is the name the character in Swan Lake which is generally known as the Black Swan?
",Odile,Odile,Swanhilda,Odette,Ovidia
572,"Who composed the music to the classical ballet La Bayadere, which is in ancient India?
",Ludwig Minkus,Andrei Droznin,Pyotr Ilyich Tchaikovsky,Alexander Borodin,Ludwig Minkus
573,"Which character is not correctly matched with the ballet?
",Swanhilda - Ciderella,Von Rothbart - Swan Lake,Albrecht - Giselle,Swanhilda - Ciderella,Sugar Plum Fair - The Nutcracker
574,"How many dancers traditionally perform the Danse des petits cygnes (Dance of the Little Swans) in Swan Lake?
",4,6,4,3,5
575,"In the ballet La Sylphide, what is James doing in act one when a sylph (a forest fairy) gazes lovingly upon him?
",sleeping,crying,fighting,sleeping,dancing
576,"What was the code word for the secret project to develop the atomic bomb?
",Manhattan Project,Mushroom,Big Boy,X Plan,Manhattan Project
577,"Hitler inadvertently helped the US to develop the atomic bomb by doing which of the following?
",causing many Jewish physicists to leave Germany and eventually work on developing the bomb,boasting that Germany had developed an atomic weapon,causing many Jewish physicists to leave Germany and eventually work on developing the bomb,selling the Soviet Union large stocks of uranium,announcing that Germany had developed long range aircraft that could bomb any US city
578,"What country began working on developing an atomic weapon before the United States and eventually joined with the US in its development?
",Great Britain,the Soviet Union,Canada,France,Great Britain
579,"Name the American physicist who led the team of scientists and engineers who developed the atomic bomb.
",Robert Oppenheimer,Edwin Hubble,Enrico Fermi,Albert Einstein,Robert Oppenheimer
580,"In what US state was much of the development of the atomic bomb and the first test of an atomic bomb carried out?
",New Mexico,Montana,Alaska,New Mexico,California
581,"Who made the final decision to drop atomic bombs on Japan?
",President Truman,General Eisenhower,President Truman,President Roosevelt,General MacArthur
582,"After US forces captured this island, a major air base was built there because it was close enough to Japan. The plane that dropped the first atomic bomb on Japan flew from the base on this island.
",Tinian,Luzon (Philippines),Tinian,Guadalcanal,Midway
583,"The precise number of people killed at Hiroshima by the atomic bomb is not known due to destruction of records, etc.  
",at is the best estimate of the number killed immediately (not counting those who died later of radiation effects or other injuries)?,"80,000","80,000","250,000","25,000"
584,"What leader of a nation besides the US and Britain had some information about the development of the atomic bomb in the US?
",Stalin of the Soviet Union because of Soviet spies,None of these,Chiang Kai-shek of China because the US informed him about the project,De Gaulle of France because several French scientists worked on the project,Stalin of the Soviet Union because of Soviet spies
585,"Why was Hiroshima  chosen as the target of the first atomic bomb dropped on Japan?
","Hiroshima had suffered almost no damage from conventional bombing, so it could be possible to discern how much damage would the atomic bomb cause.",All of these,"Hiroshima had suffered almost no damage from conventional bombing, so it could be possible to discern how much damage would the atomic bomb cause.",It was the second largest industrial city of Japan.,The Japanese emperors summer home was in Hiroshima.
586,"Who was Agatha Christies second husband?
",Max Mallowan,Max Mallowan,Michael Upton Jones,Thomas Lipton,Julius Hyde
587,"What was the Agatha Christie novel that related Hercule Poirots final adventure?
",Curtain,The Final Solution,Evil Under The Sun,Curtain,Nemesis
588,"What is the first name of Miss Marple, one of Agatha Christies most famous creations?
",Jane,Ruth,Dorothy,Mary,Jane
589,"Which of the following is not a recurring character in the Hercule Poirot stories?
",John Moffat,Arthur Hastings,Miss Lemon,Inspector Japp,John Moffat
590,"Agatha Christie wrote a story called The Love Detectives, featuring a Mr Harley Quin.
",True,False,True,,
591,"Which of the following characters was not created by Agatha Christie?
",Mr J. G. Reeder,Mr J. G. Reeder,Parker Pyne,Tommy Beresford,Ariadne Oliver
592,"Which  Billy Wilder film, starring Marlene Dietrich and Charles Laughton, was adapted from an Agatha Christie play?
",Witness for the Prosecution,Cat among the Pigeons,Dumb Witness,Ten Little Indians,Witness for the Prosecution
593,"Which of these films is not based on a book by Agatha Christie?
",Murder Ahoy,Ordeal by Innocence,Murder Ahoy,Endless Night,The Alphabet Murders
594,"Ray Bradbury was free to start a career in writing when he was rejected admission into the military during World War II due to this condition.
",bad eyesight,anaemia,bad hearing,asthma,bad eyesight
595,"Ray Bradbury was greatly inspired by American author Edgar Rice Burroughs. Which of these famous novels was penned by Burroughs?
",Tarzan of the Apes,A Farewell to Arms,Tarzan of the Apes,A Journey to the Center of the Earth,The Fall of the House of Usher
596,"What is emblazoned on the arm of Guy Montags uniform in Ray Bradburys dystopian novel Fahrenheit 451?
",a salamander,a cross,a snake,a salamander,blazing flames
597,"In which of his novels does Ray Bradbury describe a nightmarish traveling carnival called Cooger  Darks Pandemonium Shadow Show?
",Something Wicked This Way Comes,Fahrenheit 451,Something Wicked This Way Comes,Death Is a Lonely Business,Dandelion Wine
598,"In Ray Bradburys book The Martian Chronicles, upon seeing their home planet Earth dwindle to the size of a pin dot, most colonisers succumb to this disease.
",the Great Loneliness,the Great Loneliness,the Red Planet Depression,the Great Wrath,the Red Desperation
599,"In 1971, an impact crater on Earths moon was named by the Apollo 15 astronauts in honor of one of Ray Bradburys novels. What is the name of the crater?
",Dandelion Crater,The Halloween Tree,Mr Electrico,Dandelion Crater,451 Crater
600,"In 1953, Ray Bradbury was hired by John Huston to work on the screenplay of the movie adaptation of this famous classic novel.
",Moby-Dick,The Prince and the Pauper,Moby-Dick,The Sound and the Fury,An American Tragedy
601,"What is Ray Bradburys home city of Waukegan called in some of his novels?
",Green Town,Grim Town,Blue Town,Green Town,Ghost Town
602,"What filmmaker stated that Ray Bradbury was [his] muse for the better part of [his] sci-fi career?
",Steven Spielberg,Steven Spielberg,Peter Weir,Robert Zemeckis,George Lucas
603,"Ray Bradbury died on June 5, 2012, at the age of 91 during what rare astronomical event?
",transit of Venus,transit of Venus,None of these,total solar eclipse,meteor shower
604,"Why did Claire move in in the book The Clique?
",Her dad was an old college friend of Massies dad.,She is Massies relative.,It is part of a foreign exchange program.,Her dad was an old college friend of Massies dad.,Her mom is always offering their guesthouse to the less fortunate.
605,"What private school do the Clique members attend in the Clique series?
",Octavian Country Day,Avian-Drakkhar Day,Octavian Country Day,Lenkin Country Day,Westchester Academy
606,"In The Clique, Dylans famous mother, Merri-Lee Marvil, is the host of what famous morning talkshow?
",The Daily Grind,The Daily Grind,Marvil-ous!,"Get Up, Westchester!",The REAL Merri-Lee Marvil
607,"Why is Kristen  different from the rest of the original Clique girls?
",All of these,She is smart.,All of these,She is athletic.,She is poor.
608,"In which books did Alicia try to tear apart the Clique?
","Revenge of the Wannabes, Boys R Us","Best Friends for Never, Revenge of the Wannabes","A Tale of Two Pretties, My Little Phony","Revenge of the Wannabes, Boys R Us","These Boots are Made for Stalking, A Tale of Two Pretties"
609,"In what book of The Clique series does Claire move in Massies room during renovations?
",Invasion of the Boy Snatchers,The Pretty Committee Strikes Back,A Tale of Two Pretties,My Little Phony,Invasion of the Boy Snatchers
610,"In Dial L for Loser, Alicias cousin Nina visits and tears apart the Clique.
",False,False,True,,
611,"Where did the Clique characters meet?
",A New Years Yves Party,A Masquerade Ball,A New Years Yves Party,A High School House Party,A Christmas Evening Spectacular
612,"Who are Massies crushes in The Clique series of books?
","Chris, Landon, Derrington, Cam","Michael, Finnick, Chris, Eric","Chris, Landon, Derrington, Cam","Derrick, Chris, Kemp, Dune","Cam, Landon, Michael, Finnick"
613,"Where does Massie move in the last book of The Clique series?
",London,Tokyo,Malibu,Paris,London
614,"What are the first names of author D. H. Lawrence?
",David Herbert,David Hugh,Dylan Hector,David Herbert,Denis Harold
615,"Select the first and middle name of H. G. Wells.
",Herbert George,Herbert George,Hugh Gordon,Hector George,Herbert Gordon
616,"Pick the correct first and middle names of C. S. Lewis.
",Clive Staples,Clive Stanley,Clive Staples,Charles Staples,Charles Stanley
617,"Select the names of J. R. R. Tolkien.
",John Ronald Reuel,Jeremy Reginald Robert,John Roderick Rupert,John Ronald Reuel,Joseph Rupert Ronald
618,"Select the names of P. G. Wodehouse.
",Pelham Grenville,Plumleigh Glossop,Phineas Geoffrey,Pelham Grenville,Percival Gideon
619,"What are the names of E. L. Doctorow?
",Edgar Lawrence,Eric Landor,Ephraim Lionel,Edgar Lawrence,Edgar Lionel
620,"What are the names of author J. P. Donleavy?
",James Patrick,Joseph Peter,James Patrick,John Patrick,Joseph Paul
621,"What are the names of H. P.  Lovecraft?
",Howard Phillips,Howard Phillips,Henry Philip,Hector Pryce,Herbert Peter
622,"Select the names of J. D. Salinger.
",Jerome David,Jerome David,Joseph Daniel,Joseph David,Jacob Daniel
623,"Select the names of E. B. White.
",Elwyn Brooks,Edward Boston,Evan Bryce,Elwyn Brooks,Eric Blair
624,"Which is the only novel by Charles Dickens that doesnt have scenes set in London?
",Hard Times,Oliver Twist,David Copperfield,A Christmas Carol,Hard Times
625,"What famous character depicted by Bram Stoker goes to London in order to seduce Mina Harker?
",Dracula,Dracula,Faustus,Manfred,Frankenstein
626,"On what famous London street does famous detective Sherlock Holmes live?
",Baker Street,Charing Cross Road,Oxford Street,Downing Street,Baker Street
627,"What novel opens on a beautiful summer day with Lord Henry Wotton observing artist Basil Hallwards work?
",The Picture of Dorian Gray,A Portrait of the Artist as a Young Man,The Picture of Dorian Gray,Ulysses,Vanity Fair
628,"Name the author of the The Time Machine, The Invisible Man and The War of the Worlds, all of which have scenes set in London.
",H. G. Wells,H. G. Wells,Jules Verne,Joseph Conrad,D. H. Lawrence
629,"What fictional character is blown by the East wind to 17Cherry Tree Lane, London, and into the Banks household to care for their children?
",Mary Poppins,Mrs Dalloway,Mary Poppins,Malvina,Bellatrix Lestrange
630,"Winston Smith, the protagonist of this novel lives in London, the chief city of Airstrip One.
",Nineteen Eighty-Four,Animal Farm,Nineteen Eighty-Four,A Clockwork Orange,The Lord of the Flies
631,"What author described a day in the life of Mrs Dalloway, who goes around London in the morning, getting ready to host a party?
",Virginia Woolf,Muriel Spark,Virginia Woolf,Emily Bronte,Erica Jong
632,"This novel is said to be about migration, metamorphosis, divided selves, love, death, London and Bombay. Following a violent riot against the novel, the Supreme Leader of Iran issued a fatwa calling on all good Muslims to kill its author.
",The Satanic Verses,Rights of Man,The Satanic Verses,The Grapes of Wrath,Lady Chatterleys Lover
633,"Becky Sharp, a strong-willed and cunning young woman, is the protagonist of this classic novel.
",Vanity Fair,Desperate Remedies,The Mill on the Floss,Vanity Fair,The Professor
634,"What was the first major battle of the Eastern Theater of the American Civil War?
",Bull Run,Bull Run,Antietam,Chancellorsville,Cedar Creek
635,"The site of this 1862 battle had been the scene of a previous battle?
",Second Bull Run,Second Bull Run,Gettysburg,Chancellorsville,Antietam
636,"Which battle featured the defence of Maryes Heights?
",Fredericksburg,Gettysburg,Shiloh,Fredericksburg,Rich Mountain
637,"Which battle saw the defence of the Sunken Road or Bloody Lane as it was called after the battle?
",Antietam,Second Bull Run,Fredericksburg,Savages Station,Antietam
638,"Ulysses Grant had been given top command in the west, before the battle of Shiloh.
",False,False,True,,
639,"In which battle was Stonewall Jackson killed?
",Chancellorsville,Chancellorsville,Shiloh,Antietam,Mechanicsville
640,"Which of these is not a battle of the Seven Days Battles?
",Bunker Hill,Fraysers Farm,Gaines Mill,Malvern Hill,Bunker Hill
641,"What battle of the American Civil war raged for 12 days from 8 may to 19 May 1864?
",Spotsylvania Court House,Kennesaw Mountain,Spotsylvania Court House,Yellow Tavern,Gettysburg
642,"At which battle was J E B Stuart killed?
",Yellow Tavern,Yellow Tavern,Spotsylvania Court House,Trevilian Station,Petersburg
643,"Which battle of the American Civil War featured Picketts charge?
",Gettysburg,Gettysburg,Fredericksburg,Antietam,Chancellorsville
644,"What famous character leaves his family in Gascony and travels to Paris, encountering Milady de Winter on the way?
",dArtagnan,dArtagnan,La Mole,Edmond DantÃ¨s,Porthos
645,"What famous author wrote, If you are lucky enough to have lived in Paris as a young man, then wherever you go for the rest of your life, it stays with you, for Paris is a moveable feast?
",Ernest Hemingway,Ernest Hemingway,James Joyce,F. Scot Fitzgerald,Ezra Pound
646,"What novel by Charles Dickens, set before and during the French Revolution, opens with the sentence, It was the best of times, it was the worst of times?
",A Tale of Two Cities,A Tale of Two Cities,Oliver Twist,Hard Times,The Great Expectations
647,"What American author penned the novel The Tropic of Cancer during his nomadic life in Paris?
",Henry Miller,Ernest Hemingway,William Burrows,William Faulkner,Henry Miller
648,"What novel by Victor Hugo focuses on the struggles of ex-convict Jean Valjean and his experience of redemption?
",Les Miserables,The Man Who Laughs,The Red and the Black,Les Miserables,The Hunchback of Notre-Dame
649,"What American author wrote the novel The American, which is centered around an American businessmans courtship of a young widow from an aristocratic Parisian family?
",Henry James,Mark Twain,Henry James,John Steinbeck,Washington Irving
650,"In this novel by HonorÃ© de Balzac, a criminal-in-hiding named Vautrin tells naive law student EugÃ¨ne de Rastignac that he is making him an offer that he cannot refuse.
",Le PÃ¨re Goriot (Old Goriot),Madame Bovary,Gargantua and Pantagruel,The Man Who Laughs,Le PÃ¨re Goriot (Old Goriot)
651,"Julien Sorel is the protagonist of this satirical French novel, set during the Bourbon Restoration.
",The Red and the Black,Queen Margot,Old Goriot,The Man in the Iron Mask,The Red and the Black
652,"This novel by American author James Baldwin is noteworthy for bringing complex representations of homosexuality. It follows the events in the life of an American living in Paris.
",Giovannis Room,Of Human Bondage,The Naked and the Dead,Giovannis Room,The Sun Also Rises
653,"What is the pen name of Eric Blair who wrote the memoir Down and Out in Paris and London?
",George Orwell,Graham Greene,Salman Rushdie,George Orwell,Julian Barnes
654,"Aquaman, The Atom, Batman, The Flash, Green Arrow, Hawkman, Jonn Jonzz Martian Hunter, Superman and Wonder Woman are from which of these groups?
",The Justice League of America,The Avengers,The Justice League of America,The X Men,Challengers of the Unknown
655,"Allen Scot, Hal Jorden, John Stewart, Kyle Rainier, Guy Gardner have a costumed identity in common. What is it?
",Green Lantern,Nova,Green Lantern,Booster Gold,Spider Man
656,"Cyclops, Beast, The Angel, Iceman and Marvel Girl are from this group.
",The Original 5 X-men,The Original 5 X-men,The Avengers,Young justice,The Original 5 Teen Titans
657,"Dick Grayson, Jason Todd, Timothy Drake were all identified as this same super hero. Can you figure out which one?
",Robin,Fire Storm,Robin,Night Trasher,Silver Surfer
658,"Can you finish this oath? In brightest day, in blackest night, no evil shall escape my sight, let those who worship evils might beware my power ....
",Green Lanterns Light,Avengers Assemble,To the BatCave,Green Lanterns Light,This is a job for Superman
