,Questions,Correct,A,B,C,D
233,"The beautiful Belle changes everyones fate in which Broadway musical?
",Beauty and the Beast,The Wiz,The Boy From Oz,The Lion King,Beauty and the Beast
234,"Nicely-Nicely Johnson is a second banana character in which Frank Lessor musical?
",Guys and Dolls,La Cage aux Folles,Me and My Girl,My One and Only,Guys and Dolls
235,"Often called the Father of American Anthropology, he established the first PhD program in anthropology in America.
",Franz Boas,Richard L. Jantz,Corey s. Sparks,Franz Boas,Jonathan Marks
236,"This fossil, first discovered in 1924, proved that the human race really had a natural history.
",Taung Child,Taung Child,Pitdown Man,Java Man,Neanderthal Man
237,"The name of of which extinct species means working man in Greek?
",Homo ergaster,Homo antecessor,Homo ergaster,Homo habilis,Homo cerpanensis
238,"This diminutive species was nicknamed hobbits after J.R.R Tolkiens fictional race of similar size.
",Homo floresiensis,Homo erectus palaejavanicus,Homo erectus soloensis,Homo floresiensis,Homo heidelbergensis
239,"The discovery site of which species was listed by UNESCO as a World Heritage Site in 1987?
",Peking Man,Rudolf Man,Handy Man,Georgia Man,Peking Man
240,"Turkana boy, a fossil famous for being almost a complete skeleton, was discovered in Kenya in which year?
",1984,1974,1984,1962,1981
241,"What is the meaning of the anthropology term Pithecanthropus in Greek?
",ape man,ape man,caveman,upright man,wise man
242,"This anatomist is famous for his discovery of the first specimen of early hominid remains ever found outside Europe.
",Eugene Dubois,Henry McHenry,David Pilbeam,Svante Paablo,Eugene Dubois
243,"The Cro-Magnons, considered virtually identical to contemporary humans, were discovered in France in which year?
",1868,1860,1868,1863,1900
244,"Name the remains of a prehistoric man, whose discovery in 1996 raised sensitive political issues, related to the Native Americans rights.
",Kennewick Man,Boxgrave Man,Kennewick Man,Lindow Man,Red Lady of Paviland
245,"This double-letter word is used to describe many items and is even the last name of some very famous people and fictional characters.
",Little,Small,Narrow,Little,Lesser
246,"This is an activity you usually do on snow but sometimes it is done on water.
",Skiing,Running,Skating,Skiing,Shooting
247,"This double-letter word refers to a yummy baked dish that can be delivered to your house hot and ready to eat.
",Pizza,Rolls,Spaghetti,Pizza,Moonpies
248,"The word savvy means intelligence or common sense.
",True,True,False,,
249,"The word vacuum means a space entirely devoid of matter.
",True,False,True,,
250,"These furry bundles of joy sometimes cause severe allergies in people.
",kittens,rattle snakes,wobbles,goons,kittens
251,"Which of the following words best fits this sentence: The next ____ will be out soon for everyone to read.?
",issue,newspaper,bubble,issue,pizzas
252,"A bubble is a period of intense speculation in a market, causing prices to rise quickly to irrational levels and then fall even more quickly as the bubble bursts.
",True,True,False,,
253,"Sometimes people who hike  very long distances hide supplies in boxes along their route. What are these boxes called?
",bounce boxes,suppliboxes,route boxes,bounce boxes,roadplies
254,"In 2007 this expression was introduced to describe an economy that is in a real frenzy.
",cappuccino economy,latteconomy,cappuccino economy,caffeine economy,Potus
255,"Someone who did not like the hardware made by Apple might use this expression.
",MacIntrash,MacIntrash,Sourapple,Roottenmacs,Jobs Sobs
256,"Because of the high cost of medical care, some older adults are abandoned by their caretakers. What is this called?
",granny dumping,gerontal deprivation,patriloss,parentaloss,granny dumping
257,"Sometimes people can get so many e-mails that they cannot deal with them. They might just delete them all and start again. What is this action called?
",e-mail bankruptcy,e-mail bankruptcy,e-looting,Instamesagloss,virtual bankruptcy
258,"This new form of exercise which combines step aerobics with soul music.
",Funkinetics,Stephopping,Exergaming,Aerohop,Funkinetics
259,"Which of these words describes movies that contain extreme and unnecessary violence.
",gorno,xoviolence,gorno,tremovile,xtremolence
260,"In computer messaging punctuation marks are sometimes used to show human emotion. What do we call a series of such marks?
",emoticons,emoticons,textations,virtutions,emailotions
261,"The mentoring system is all the rage. Which word refers to a person being mentored?
",mentee,monitor,mentator,mentee,mentationary
262,"This word refers to a newly wed man who was a bachelor for many years.
",a Benedict,a Benedict,a Neothorpe,a Neosexual,a Bachephile
263,"Which word refers to a very long-winded person?
",A.S.S. Graduate,mzee,lopomo,A.S.S. Graduate,twonk
264,"This is a Navaho legend, explaining the formation of a constellation. According to this myth there was a girl who married a bear. Her younger sister told their father and he got so furious, he killed the bear. In order to revenge, the bigger sister turned into a bear and began chasing her siblings. She killed her seven brothers who flew up in the sky and formed this constellation.
",Ursa Major,Ursa Minor,Ursa Major,Lynx,Draco
265,"This Navajo god of rains, whose name means water sprinkler, often played waggish tricks on mankind, but he never harmed anyone.
",Tonenili,Skywoman,Dineh,Spider Woman,Tonenili
266,"When evoked to cure an illness, this spirit could take the form of either a woman or a man, depending on the gender of the patient.
",Asgaya Gigagei,Aningan,Atira,Breathmaker,Asgaya Gigagei
267,"This military practice was widespread among American Indian tribes well before the European colonists came to the New World. It provided warriors with proof of his courage and a war trophy.
",Scalping,Shouting,Snake Dance,Riding horses,Scalping
268,"These items, taken from birds, were usually accepted as marks of honor or sources of ideas. They were also symbols of the Creative Force.
",Feathers,Claws,Wings,Feathers,Beaks
269,"This animal was considered an important spirit among most of the Northern tribes. It was responsible for sorrow and death, and was an omen of impending evil.
",Coyote,Coyote,Bear,Eagle,Raven
270,"According to the Iroquois, this woman fell from a hole in the sky and brought light to the world.
",Skywoman,Sunwoman,Skywoman,Moonwoman,Cloudwoman
271,"According to the Iroquois these demon gods flew during storms and ate people as humans were very delicious to them.
",Big heads,Bodyless,Storm heads,Flying heads,Big heads
272,"This bird is considered to be the master of the sky. It is the carrier of prayers, venerated for its courage and wisdom.
",Eagle,Eagle,Vulture,Owl,Condor
273,"According to the Pawnees this star was evil, since it had driven the Sun out of the sky.
",Evening star,Sirius,Morning star,Evening star,Venus
274,"Which one of these Renaissance artists was at first apprenticed to a goldsmith?
",Alessandro Botticelli,Raphael Sanzio,Leonardo da Vinci,Michelangelo Caravaggio,Alessandro Botticelli
275,"The Birth of Venus, The Annunciation, Medusa, and Flora are four artworks that all have this in common.
",They are exposed in the same gallery,They are exposed in the same gallery,They depict one and the same subject,They have one and the same author,They have nothing in common
276,"Michelangelos marble sculpture, Moses, was originally intended for the tomb of Pope Julius II in St. Peters Basilica, but after the popes death the sculpture was placed in a church on this hill -- one of the famous seven hills in Rome.
",Esquiline,Esquiline,Celio,Palatino,Aventino
277,"Which Medici family member commissioned the great Florentine architect Brunelleschi to reconstruct the Church of San Lorenzo in 1419?
",Cosimo the Elder,Cosimo I the Great,Cosimo the Elder,Giovanni di Bicci de Medici,Salvestro de Medici
278,"This one of Donatellos bronze statues was notable as the first unsupported standing work in bronze cast, since classical times.
",David,The Feast of Herod,David,Mary Magdalen,St. Mark
279,"Caravaggio was a Baroque painter, and this was the main subject in most of his artwork.
",Young men,Animals,Young men,Landscapes,Nude women
280,"Only one of these sculptures is not a work of Antonio Canova, famous for his ability to delicately render nude flesh in his statues.
",The Virgin,The Three Graces,Daedalus and Icarus,Cupid and Psyche,The Virgin
281,"Typical of the baroque architecture, this was the paradigm of the basilica, mainly in Italy and France.
",Crossed dome and nave,Clerestory windows,Apse of one end,Crossed dome and nave,Interior colonnades
282,"Which of these words means to be transitory or perishable?
",Caducity,Panoptic,Antithetical,Caducity,Cavil
283,"Indomitable means unconquerable.
",True,True,False,,
284,"Which of these words is defined as indifferent or nonchalant?
",Pococurante,Binary,Askew,Pococurante,Lissome
285,"The term waddy is a noun that means sailor.
",False,True,False,,
286,"What word defines a person who lives in seclusion for religious reasons?
",Anchorite,Garderobe,Wimple,Canard,Anchorite
287,"Panoptic means having a panoramic view.
",True,True,False,,
288,"What noun refers to a bald-headed man or a man that is looked at with humor or mock pity?
",Pilgarlic,Libertine,Pilgarlic,Infix,Distrait
289,"The word palmy means poor or underfunded.
",False,True,False,,
290,"What word means either cheerful and optimistic or having good digestion?
",Eupeptic,Eupeptic,Demulcent,Resplendent,Estival
291,"Jocose means somber or depressed.
",False,True,False,,
292,"What is a privet?
",a type of shrub,an electronic circuit,a prudish person,a type of animal,a type of shrub
293,"Which of these words means loose hemp or jute fiber, occasionally treated with pitch or tar?
",oakum,oak leaf cluster,oakum,ocarina,oarlock
294,"Can you define the word nimbus?
",a halo or bright light,a state of being numb,a halo or bright light,an alcove or recess in a wall,a radioactive element
295,"Milch is an adjective that can be put before which of the following words?
",cow,cow,oxen,bull,hen
296,"What word refers to an emperor of Japan?
",Mikado,Reredos,Mufti,Mikado,Milt
297,"Which one of these words denotes a type of shade tree?
",Linden,Ligroin,Lignite,Likuta,Linden
298,"What is a killdeer?
",a bird,a Turkish viceroy,a type of deer,a bird,an English economist
299,"Where would you find a jalousie?
",in a home or building,in a home or building,in a vehicle,on your head,on your hat
300,"What color is the Iridium?
",yellow,yellow,red,blue,green
301,"Where would find a half track?
",in the military,in your car,in the military,in a gym,in a plane
302,"What character does Beyonce Knowles portray in the 2006 movie Dreamgirls?
",Deena Jones,Michelle Morris,Lorell Robinson,Deena Jones,Madeline  Robinson
303,"What is Jamie Foxxs role in the movie Dreamgirls?
","Curtis Taylor, Jr.","Curtis Taylor, Jr.",C. C. White,James Thunder Early,Marty Madison
304,"In which city does the movie Dreamgirls begin?
",Detroit,New York City,Los Angeles,Chicago,Detroit
305,"In the movie Dreamgirls, this actress portrays Lorrell Robinson, the only original member of the group  who was never the lead singer.
",Anika Noni Rose,Sheryl Lee Ralph,Anika Noni Rose,Amanda Morris,Sharon Leal
306,"Who does Eddie Murphy portray in the film Dreamgirls?
",James Thunder Early,Marty Madison,Wayne,James Thunder Early,"Curtis Taylor, Jr."
307,"Who portrays Effie Melody  White in the 2006 movie Dreamgirls?
",Jennifer Hudson,Jennifer Warens,Jennifer Hudson,Jennifer Holliday,Jennifer Halliday
308,"In the movie Dreamgirls, who is the only  singer to have a child?
",Effie,Madeline,Deena,Michelle,Effie
309,"In the movie Dreamgirls, this actor plays Marty Madison, an old time manager, who is pushed out  of business by Curtis.
",Danny Glover,Danny Glover,John  Lithgow,Adam Brooks,James Krasinski
310,"Who directed the movie Dreamgirls?
",Bill Condon,Michael Bennett,Bill Condon,James Krasinski,Tom Eyen
311,"Jamie Foxx, who stars in the movie Dreamgirls, sang the theme song for what 1999 movie?
",Any Given Sunday,Any Given Sunday,Anywhere But Here,Anything Fo You,Anythings Possible
312,"Jamie Foxx, Jessica Lange, Julianne Moore, Holly Hunter, Al Pacino, Sigourney Weaver, Barry Fitzgerald, Teresa Wright and Faye Bainter share what distinction?
",They were nominated for both a lead actor/actress and supporting actor/actress Oscar in the same year.,They were nominated for both a lead actor/actress and supporting actor/actress Oscar in the same year.,Each was nominated for an Oscar for their first movie.,They are all alumni of USCs drama school.,They were nominated for Oscars in three consecutive years.
313,"This star from Boston Public is the only actress from the original Broadway cast of Dreamgirls who appeared (and sang) in the 2006 movie adaptation.
",Loretta Devine,Diane Adams,Loretta Devine,Sharon Leal,Beyonce Knowles
314,"Who originated the role of Deena Jones in the Broadway play Dreamgirls?
",Sheryl Lee Ralph,Michelle Adams,Sheryl Lee Ralph,Beyonve Knowles,Jennifer Halliday
315,"Who originated the role of Effie on the Broadway production Dreamgirls?
",Jennifer Holliday,Jennifer Warens,Jennifer Holliday,Jennifer Halliday,Jennifer Hudson
316,"How was the movie Dreamgirls rated?
",PG-13,X,PG-13,G,PG
317,"The original Broadway play Dreamgirls was designed to feature which actress/singer?
",Nell Carter,Sheryl Lee Ralph,Diana Ross,Pearl Bailey,Nell Carter
318,"Which word means extravagance in cooking and/or serving?
",abliguration,ascerose,accolent,alimenation,abliguration
319,"Which word means leave hurriedly or secretly?
",absquatulate,absquatulate,alleperpate,accolent,absperpate
320,"What does abactor mean?
",a cattle thief,a cattle thief,a doctor who heels back and / or spinal pain,a person who edits a book,a person who retracts a decree
321,"What does the word axilla mean?
",an armpit,a medieval weapon with two sharp faces,a tiny worm found in Southern Europe,an armpit,the part of a flower protecting the reproductive organs
322,"Which word means fear of solitude?
",autophobia,autophobia,automysophobia,avalophobia,auxiolophobia
323,"Which word means pertaining to grandparents?
",aval,aval,avital,avanital,autovitalic
324,"What does anatine mean?
",duck-like,duck-like,naval or marine,unusually large and/or  fat,reptile like
325,"What is the definition of the word acoushla?
",a term of endearment,a term of endearment,a term of military respect,a type of two-person fishing boat used in Scotland and Northern Ireland,a type of gnome mentioned in Irish literature
326,"Which word means a person learning the alphabet?
",abecedarian,avuncularian,abcederrian,abcadarian,abecedarian
327,"What does acronyal mean?
",occurring at sunset,not at a regular time,late,occurring at sunset,not on an annual basis
328,"Select the correct spelling.
",bellwether,bellweather,belweather,bellwether,belwether
329,"Hestia is the goddess of the hearth in Greek mythology.
",True,True,False,,
330,"Apollo is the Greek god of the hunt.
",False,True,False,,
331,"Goddess Demeter taught the human beings what according to Greek mythology?
",Farming,None of these,Farming,Swimming,Hunting
332,"What is Poseidon god of in Greek mythology?
",Nature and the seas,Nature and the seas,None of these,Movement,Poisons
333,"When drawing the human form, the entire figure is generally how many heads tall?
",8,10,6,8,7
334,"While tempera paint rarely includes this ingredient nowadays, it was prevalent with the Byzantine artists of the thirteenth and fourteenth centuries.
",Egg yolk,Sulfur,Egg yolk,Lye,Ash
335,"Which of the following is not a type of pottery?
",Glazeware,Porcelain,Stoneware,Earthenware,Glazeware
336,"Which of the following is not a movement in art history?
",Subrealism,Bauhaus,Dada,Rococo,Subrealism
337,"When creating a woodcut or linoleum print, you would generally carve out (or remove) which of these?
",Negative space,Subject,Foreground,Interior,Negative space
338,"Which of these qualities represents the major difference between watercolor and acrylic paints?
",Level of opacity,Solubility,Level of opacity,Cost,Rate of drying
339,"What style of art breaks from traditional perspective and depicts the subject matter from multiple points of view, fragmenting a three-dimensional form in order to depict it on the two-dimensional surface?
",Cubism,Fauvism,Cubism,Impressionism,Expressionism
340,"Which of the following is not an ingredient in typical camera film?
",Sucrose,Gelatin,Polyester,Sucrose,Cellulose Acetate
341,"A drawing in which one continuous line is used to trace the outlines of the subject matter, using more or less pressure to suggest shadow, is called what?
",Contour,Gesture,Line,Contour,Trace
342,"The method of watercolor painting in which paper, crumpled plastic wrap, or other items are applied to the paint when wet and removed after drying is called decalcomania.
",True,True,False,,
343,"Tango is a complicated dance with even more complicated origins. Angel Villoldo was the first to ever record a Tango. This is the home of Tango (and Angel Villoldo ).
",Argentina,Spain,England,France,Argentina
344,"One of the most popular Latin American dances is cha-cha-cha. It became popular in the United States in the 1950s and its music was derived from the music of this dance.
",Mambo,Mambo,Foxtrot,Merengue,Polka
345,"The home country of Salsa is Brazil.
",False,True,False,,
346,"One of the best (some say he was the best ever) tango dancers was JosÐµ Ovidio Bianquet. His story is as mysterious as tango itself and his nickname is one of the most legendary in the history of this great dance. What is it?
",El Cachafaz,Sin rumbo,El Tarila,El Cachafaz,El Vasco
347,"The word samba is probably derived from the Angolan semba, meaning a religious rhythm. The dance and its music were born in the black ghettos of this city. The biggest samba carnival is also held in this city.
",Rio de Janeiro,Rio de Janeiro,San Juan,Havana,Brasilia
348,"Merengue was born in Portugal in the 16th century as part of an important ritual.
",False,False,True,,
349,"Probably the most famous and influential ballroom dance is Waltz. Its closed position became an example for many other dances and made it very fashionable. Waltz first became popular in this city and then spread all over the world.
",Vienna,Paris,Toledo,Vienna,London
350,"One of the symbols of the Spanish culture is the Flamenco (Flamenco originally meant Flemish in Spanish). At first Flamenco consisted only of unaccompanied singing, but later came the other essential ingredients, such as the dance and the guitar. What is the name of the flamenco guitar?
",Toque,Cajon,Palmas,Toque,Baile
351,"Quadrille was born as part of military parades in the 17th century and was performed by 4 horsemen and their horses.
",True,True,False,,
352,"This is a Polish folk dance which became quite popular at ballrooms. It is in triple time and its tempo is usually moderate. It has spread all over the world in countries such as the United States, Russia and France.
",Mazurka,Polka,Mazurka,Polska,Cumbia
353,"This Latin phrase means to a sickening or tiresome degree.
",ad nauseam,sic malaria,in tota nauseam,sin vibre,ad nauseam
354,"In debating, this term refers to an argument that attacks a persons character, as opposed to the subject of debate.
",ad hominem,ad hoc,ad hominem,in argumentatus,ad homunculus
355,"This is a label inside a book that bears the owners name.
",ex libris,ad literatus,ex libris,in libro,ex literatus
356,"In England, names of places ending in chester, like Manchester and Winchester come from a Latin word meaning what?
",camp,meadow,stream,camp,house
357,"Argentina comes from the Latin word Argentum which means silver.
",True,True,False,,
358,"A corrupted version of the Arabic word wadi, meaning watercourse, gives us this Spanish toponym.
",Guadalajara,Salamanca,Madrid,Andalucia,Guadalajara
359,"The Native Americans knew this place as Mesconsing, Lewis and Clark recorded it as Quisconsing. Its name was further distorted. What do we know it today as?
",Wisconsin,Wisconsin,Quebec,Colorado,"Lansing, Michigan"
360,"What do the toponyms Rio Grande, Mississippi and Ta Ho mean in their native tongues?
",Big River,Long River,Big River,Great River,Surrounded by water
361,"Cairo means happiness in Arabic.
",False,True,False,,
362,"What place in New York was named Vlissigen by the Dutch?
",Flushing,Yonkers,Brooklyn,Flushing,Harlem
363,"Omaha is a distorted Native American tribal name.
",True,True,False,,
364,"What does Sahara mean in Arabic?
",wasteland,oasis,fertile,wasteland,sand
365,"For which monarch was the state of Virginia named?
",Queen Elizabeth I of England,King Louis IV of France,King Virgil of Denmark,Mary Queen of Scots,Queen Elizabeth I of England
366,"Which one of these words means an ornamental clasp or pin?
",brooch,brocade,ballast,bivouac,brooch
367,"Pick the B word that does NOT mean to nag or intimidate.
",befuddle,bluster,befuddle,badger,browbeat
368,"Which one of these words means to soil or defile?
",besmirch,besmirch,bewitch,broach,beseech
369,"Which of the following words does NOT mean a blessing?
",blight,benediction,benevolence,blight,boon
370,"What does the word blithe mean?
",joyous and lighthearted,joyous and lighthearted,full of errors,"limber, spry, agile",hard to understand
371,"Choose the B word that means rough or noisy.
",boisterous,bawdy,boisterous,boorish,bland
372,"Which of these word means a large group?
",bevy,bugaboo,bastion,bevy,blandishment
373,"Which of these B words means shortness of duration?
",brevity,blasphemy,bureaucracy,brevity,buffoonery
374,"Which one of these words means cheerful and optimistic?
",buoyant,buoyant,bacchanalian,bereft,bucolic
375,"Which of these words means highly ornate?
",baroque,baroque,bombastic,blase,burnishing
376,"Is it true that the figures of Cupid throughout history have had two different sides?
",Yes,Yes,No,,
377,"There are several different stories about Cupids parentage and the most popular is that his mother is Venus and his father - Mars.
",True,True,False,,
378,"The typical Christian depiction of a cherub is often compared to Cupid.
",True,False,True,,
379,"Cupid appears in the movie Toothless and is portrayed by actor Richard Chamberlain.
",False,True,False,,
380,"According to Greek mythology, this god is responsible for lust, love and sex.
",Eros,Eros,Cupid,Mars,Kama
381,"In ancient Athens, one day per week was sacred to Eros.
",False,False,True,,
382,"February 14 is the day set aside for Valentines Day, the day celebrating love.
",True,False,True,,
383,"100 million valentines are estimated to be given out in February in honor of Valentines Day.
",False,False,True,,
384,"What kind of creature is the leprechaun in Irish mythology?
",Fairy,Fairy,Gnome,Dwarf,Demon
385,"Which popular NBA team has a logo, featuring a leprechaun?
",Boston Celtics,Washington Wizards,L.A. Lakers,Boston Celtics,Orlando Magic
386,"Once leprechauns were described as creatures dressed in red.
",True,False,True,,
387,"What is the traditional craft practiced by leprechauns according to Irish mythology?
",making shoes,making shoes,making shamrocks,making hats,making gold coins
388,"According to legend, a leprechaun must tell the truth if looked directly in the eye.
",True,True,False,,
389,"In the old days, in order to keep leprechauns content, Irish people used to leave out a dish of what?
",Milk,Milk,Beer,Whiskey,Cookies
390,"There are female leprechauns.
",False,True,False,,
391,"A quorum has to do with a group of  which of these?
",people,flowers,words,animals,people
392,"Which of these words is associated with clothing?
",raiment,raison detre,raiment,recherche,rugger
393,"Pick out the word that means a type of person.
",sybarite,sylvan,sybarite,stentorian,sternum
394,"Tellurium is a metallic element of this color combination.
",silvery/white,black/white,silvery/white,red/white,gold/white
395,"The word umbilicus refers to what part of the human body?
",the navel,the legs,the eye brows,the head,the navel
396,"Which of these words means having an insatiable appetite?
",voracious,vole,viviparous,vizier,voracious
397,"Which of these animals can be a wrasse?
",fish,goat,antelope,pig,fish
398,"Pick out the name of the king of Persia from either 519-465 B.C. or 486-465 B.C.?
",Xerxes,Xenon,Xebec,Xerxes,X-axis
399,"The word yurt is similar in meaning to which of these words?
",tent,a medieval creature,ship,statue,tent
400,"Zoroastrianism refers to which of the following?
",a type of religion,,a type of religion,human sacrifice,Greek philosophy
401,"Which of these words means to guess?
",conjecture,conjecture,castigate,contrive,coerce
402,"Does the word clemency mean the state of being a huge Mark Twain fan?
",No,Yes,No,,
403,"Pick the word that does NOT mean conversation.
",concordance,colloquy,chitchat,concordance,conference
404,"Which of these words can be defined as an expert critical judge of art?
",connoisseur,coquette,connoisseur,clairvoyant,charlatan
405,"Which one of these words means pleased or satisfied with oneself?
",complacent,capacious,complacent,congenial,candid
406,"Which of these words means panic?
",consternation,cynicism,cataclysm,cacophony,consternation
407,"Pick the word that means annoyance at ones own failures or errors.
",chagrin,cupidity,collusion,chagrin,composure
408,"Which one of these words means to recover after a sickness?
",convalesce,cauterize,convalesce,coddle,conciliate
409,"The word centimeter means one hundred meters.
",False,False,True,,
410,"Find the word that does NOT mean to hold back.
",conduce,check,constrain,control,conduce
411,"For which culture does a Sinophile have an obsessive love?
",China,France,China,Japan,England
412,"Philhellenism is an obsessive love of which culture?
",Greek,Chinese,Japanese,Greek,German
413,"What is cyberphilia?
",An obsessive love of the Internet,An obsessive love of the Internet,An obsessive love of flowers,An obsessive love of cybersex,An obsessive love of electronics
414,"This is an obsessive love of  clowns.
",Coulrophilia,Cacophilia,Bathyhilia,Coulrophilia,Bufonophilia
415,"Of course there is a word for an obsessive love of peanut butter sticking to the roof of your mouth. Which one is it?
",Arachibutyrophilia,Bibilophilia,Arithmophilia,Arachibutyrophilia,Canophilia
416,"This is an obsessive love of walking.
",Ambulophilia,Tocophilia,Pedalophilia,Ambulophilia,Sesquipedalophilia
417,"For what does a lygophile have an obsessive love?
",Darkness,Wine,Old people,Darkness,Kindness
418,"This is an obsessive love of cats.
",Ailurophilia,Phallainophilia,Catagelophilia,Apiophilia,Ailurophilia
419,"Trichophilia is an obsessive love of what ?
",Hair,The dark,Pain,Hair,Insects
420,"What do we call an obsessive love of being ridiculed?
",Catagelophilia,Enochlophilia,Agathophilia,Catagelophilia,Drosophilia
421,"What is the term for obsessive love of wild animals?
",Agriozoophilia,Agriozoophilia,Pogophilia,Zoaphilia,Atelophilia
422,"What is  cenophilia ?
",An obsessive love of empty spaces,An obsessive love of being dirty,An obsessive love of empty spaces,An obsessive love of animal fur skins,An obsessive love of school
423,"Which of these phrases can mean fashionable?
",a la mode,a propos,a la carte,a gogo,a la mode
424,"Literally (not figuratively), what does the word adieu mean?
",to God,to God,farewell,what,hello
425,"What is an aperitif?
",a before meal drink,a terrific person,a before meal drink,an opening,a guess
426,"What does blase mean?
",unimpressed,blazer,unimpressed,tired,bleak
427,"Cafe au lait is an outdoor cafe.
",False,True,False,,
428,"What does the word coquette mean?
",a flirtatious girl,a flirtatious girl,a fancy hair style,a salmon patty,a type of poodle
429,"Which phrase refers to love of life?
",joie de vivre,joie de livre,joie de vivre,joie dadore,joie de cafe
430,"The definition of the phrase, cause celebre, is an issue arousing widespread controversy or heated public debate.
",True,True,False,,
431,"What is the literal translation of vis-a-vis?
",face to face,face to face,I see you,up front,in regards to
432,"Which phrase can mean feat of strength?
",tour de force,soup du jour,tete a tete,tour de suite,tour de force
433,"Suppose you wanted to study law and become a lawyer.   The word for lawyer in Spanish is _______________.
",abogado,peluquero,abogado,conductor,cocinero
434,"In Spanish, what would you be called if you were a fireman?
",bombero,ebanista,banquero,botanico,bombero
435,"What if you wanted to be the mayor of your town?   What would that profession be called in Spanish?
",alcalde,clerigo,tabernero,alcalde,carnicero
436,"How about if you become a baker?  In Spanish, you would be called a what?
",panadero,panadero,carpintero,marinero,cerrajero
437,"Youre 5 years old.   Your mommy asks you what you want to be when you grow up.  You say I wanna be a cowboy.  How would you say cowboy in Spanish?
",vaquero,contador,escultor,vaquero,taquillero
438,"My dad is an avid fisherman.  If he were a Spanish fisherman, what would his profession be called?
",pescador,florista,cartero,pescador,artesano
439,"If you wanted to be a clown in a Spanish circus, you would be called a payaso.
",True,True,False,,
440,"Your father was a cobbler. Your grandfather was a cobbler. Your great grandfather was a cobbler.  Chances are you may become a cobbler too.  What would the Spanish word for cobbler be?
",zapatero,criado,zapatero,jardinero,camarero
441,"Okay, so you want to be a judge in Madrid.  What word would you be called?
",juez,juez,plomero,cambiadiscos,borracho
442,"My brother lives in Mexico City.  He wants to be a trainer.  What would his job be called in Spanish?
",entrenador,enfermero,droguero,entrenador,fraile
443,"What is the English word for the Spanish word fiesta ?
",party,three,nap,fire,party
444,"How do you translate the Spanish word pescado into English?
",fish,mosquito,fish,pessimism,fire alarm
445,"What is the English word for the Spanish paloma?
",pigeon,friend,sheep,wind,pigeon
446,"The English word for the Spanish word corazÃ³n is what?
",heart,corridor,complaint,heart,candle
447,"Give me the English word for the Spanish word hermano.
",brother,herring,hermit,golf course,brother
448,"How does one say the word naranja from Spanish into English?
",orange,black,orange,green,purple
449,"Now give me the English word for the Spanish word espejo.
",mirror,mirror,perjury,horse,special
450,"Give me the English variant for the Spanish first name Guillermo.
",William,George,Joshua,James,William
451,"What is the translation of the Spanish word miÃ©rcoles in English?
",Wednesday,Wednesday,Saturday,Friday,Monday
452,"How do you translate cuchara from Spanish to English?
",spoon,spoon,knife,fork,plate
453,"What is a Tombola?
",A type of lottery,A type of lottery,A bone of the inner ear,A male cricketer,A musical instrument
454,"Tomentum is a word describing the increase in speed of a rolling object which is then accelerated e.g. kicking a soccer ball
",False,True,False,,
455,"What is another word for tome?
",work,sound,pass,work,trumpet
456,"Which Tom played Dr Who in the cult BBC television series?
",Tom Baker,Tom Baker,Tom Stoppard,Tom Archer,Tom Collins
457,"Which musician(s) created the rock opera Tommy?
",The Who,The Rolling Stones,Elton John,The Beatles,The Who
458,"A Tom Collins is a long drink consisting of vodka, lime or lemon juice, sugar and soda water.
",False,False,True,,
459,"In Greek mythology, Sirens often led sailors to their deaths with their beautiful songs.
",True,False,True,,
460,"In Greek mythology, a minotaur was made up of what two creatures?
",man and bull,man and horse,man and woman,man and bull,man and lion
461,"This 3-headed beast guarded the gates to Hades.
",Cerberus,Hydra,Sphinx,Cerberus,Zylon
462,"How do we call a person who initiates an attack?
",aggressor,aggressor,tailor,scarfor,administrator
463,"This is how we refer to a person who writes any type of literary products.
",author,creator,director,educator,author
464,"What is the term for a person responsible for devising a new machine or a new process of doing something?
",inventor,administrator,author,mentor,inventor
465,"How do we call a person who takes on a new identity in order to deceive?
",impostor,impostor,aggressor,perceptor,deceptor
466,"Someone who entertains by pretending to be someone else, usually either in a play or through film products.
",actor,actor,spectator,director,creator
467,"A university or college teacher is known as a professor.
",True,True,False,,
468,"How do we call someone that does detective work?
",investigator,investigator,instigator,supervisor,impostor
469,"A tailor is someone who only makes new clothes.
",False,True,False,,
470,"A spectator is someone who participates in activities or sporting events.
",False,True,False,,
471,"Which of these terms are used for a person who is responsible for or oversees the work done by others?
",all of these,administrator,supervisor,director,all of these
472,"This god, representing everything that threatened harmony in Egypt, was the brother of Osiris and Isis. He murdered Osiris, then battled with his nephew Horus to be the ruler of the living.
",Seth,Sobek,Seth,Shu,Thoth
473,"Since jackals were often seen in cemeteries, the ancient Egyptians believed that Anubis, a god with human body and jackal head, watched over the process of embalming.
",True,True,False,,
474,"Tawaret was a goddess who protected women during pregnancy and childbirth. She was most often depicted with the head of a hippopotamus, arms and legs of a lion, back and tail of a crocodile, and breasts and stomach of a pregnant woman.
",True,True,False,,
475,"The goddess Anekantin was Isisâ€™ sister and Anubisâ€™ wife.
",False,True,False,,
476,"This center is associated with intuition and sensory perception.
",Center of brow,Center of brow,Heart,Mid-back,Base of spine
477,"Location of the spiritual center.
",Throat,Crown,Back,Spine,Throat
478,"What color would you use to heal the etheric (root) center?
",Red,Blue,Green,Red,Yellow
479,"What color would we nedd to heal the soul?
",Violet,Yellow,Green,Orange,Violet
