,Questions,Correct,A,B,C,D
602,"In the game of  Scrabble each player starts with how many letters?
",7,5,6,10,7
603,"What happens if you play all of your letters during the game of Scrabble?  
",,ote:  This would not include the end of the game when your rack is not full),You get an extra 50 points,You are penalized 25 points,You win
604,"te:  This would not include the end of the game when your rack is not full)
",You get an extra 50 points,You are penalized 25 points,You win,Your opponent(s) lose(s) a turn,You get an extra 50 points
605,"How many triple word score squares are there on the board of Scrabble?
",8,9,4,8,7
606,"If you play the word wagon in the game of Scrabble and it is not on any letter or word premium squares, how many points is it worth?
",9,9,20,14,11
607,"Is oe a valid word in the game of Scrabble?
",Yes,Yes,No,,
608,"What is the best score you could get in Scrabble with the following letters, not using any letter or word premium squares: Y H K E C S O?
",69,14,11,19,69
609,"What is a blank tile worth in the game of Scrabble?
",Nothing,One point,Nothing,It depends on where they are played,There are no blank tiles
610,"If you get stuck with the letter Q at the end of the game of Scrabble, how many points will be deducted from your score?
",10,3,5,10,1
611,"You may never exchange your letters in the game of Scrabble.
",False,False,True,,
612,"Who wins in the game of Scrabble?
",The person with the highest score,The first person to use all their letters,The person with the highest score,"No one does, its just for fun.",The person with the least amount of points
613,"This rap singer was convicted in March 2005 of lying to a federal grand jury about a shooting outside a radio station in 2001.
",Lil Kim,Lil Kim,Christina Aguillera,Foxy Brown,Jennifer Lopez
614,"This actress was caught stealing in a store in 2002. She was convicted of grand theft and felony vandalism.
",Winona Ryder,Paula Poundstone,Jennifer Aniston,Winona Ryder,Drew Barrymore
615,"This football player was accused of murdering his former wife Nicole Brown, and her friend, Ronald Goldman, in 1994.  He was acquitted the following year.
",O. J. Simpson,Christian Brando,O. J. Simpson,Rae Carruth,David Beckam
616,"On February 8, 1994 a Mercedes Benz cut off this actor in traffic.  Having a serious case of road rage, he got out of his car, smashed the windshield and the roof of the Mercedes with a golf club and drove off.  He was charged with misdemeanor assault, vandalism and battery.
",Jack Nicholson,Andy Dick,Matthew Perry,Jack Nicholson,Jason Priestly
617,"In 2001, this actor had cocaine related charges made against him. He was arrested in Palm Springs.
",Robert Downey Jr,Robert Downey Jr,Hugh Grant,Fatty Arbuckle,Kobe Bryant
618,"This famous singers family home was searched by the police in 1993 for evidence of child molestation.
",Michael Jackson,Elton John,Will Smith,Michael Jackson,George Michael
619,"On June 27, 1995 this actor was caught in a car, having sexual intercourse with a prostitute. Police arrested him for lewd behavior.
",Hugh Grant,Jason Priestly,Jack Nicholson,Christian Slater,Hugh Grant
620,"This singer was caught by police and charged with performing a lewd act in a public restroom.
",George Michael,Michael Jackson,Elton John,George Michael,Phil Collins
621,"In 1996 this rock musician was convicted of battery for pushing over a photographer who tried to get a picture of him and his wife.
",Tommy Lee,James Hetfield,Axel Rose,Slash,Tommy Lee
622,"This actress was sued for slapping a police officer because he pulled her over and gave her a ticket.
",Zsa Zsa Gabor,Halle Berry,Margot Kidder,Zsa Zsa Gabor,Pamela Anderson
623,"Which actor starred as Doc Holliday in Tombstone?
",Val Kilmer,Bill Paxton,Sam Elliot,Powers Boothe,Val Kilmer
624,"In the western Tombstone, what was Doc Hollidayâ€™s answer to Ringos Isnt anyone here man enough to play for blood?â€
",Im your huckleberry.,In vino veritas.,Not me. Im in my prime.,Im your huckleberry.,What do you want Wyatt?
625,"What role did Billy Bob Thornton play in the western Tombstone?
",Johnny Tyler,Billy Clanton,Johnny Tyler,Ike Clanton,Frank Stillwell
626,"In the Western Tombstone Sam Elliot plays the role of Morgan Earp.
",False,True,False,,
627,"What year was Tombstone released?
",1993,1994,1993,1997,1991
628,"Who stars as the county sheriff John Behan in the Tombstone western movie?
",Jon Tenney,Jon Tenney,Harry Carey Jr,Tomas Arana,Stephan Lang
629,"In Tombstone, Morgan was Wyatt Earpâ€™s brother that gets killed.
",Yes,No,Yes,,
630,"In the western Tombstone, who said It would appear that the strain was more than he could bear.?
",Doc,Wyatt,Jonny Ringo,Curley Bill,Doc
631,"Dana Dalany played Wyatts wife Mattie in the film Tombstone.
",False,False,True,,
632,"In Tombstone, who was leader of the Cowboys?
",Curly Bill Brocious,Frank Stillwell,Curly Bill Brocious,Johnny Ringo,Ike Clanton
633,"In which of these states is Slippery Rock University located?
",Pennsylvania,California,Kentucky,Tennessee,Pennsylvania
634,"What state is Gonzaga University in?
",Washington,Arkansas,Delaware,New York,Washington
635,"The Old Dominion University Monarchs are from which state?
",Virginia,West Virginia,Georgia,Virginia,South Carolina
636,"In which of these states can you find Appalachian State University?
",North Carolina,West Virginia,Virginia,South Carolina,North Carolina
637,"Name the state in which Murray State University is located.
",Kentucky,Wisconsin,California,Kentucky,Ohio
638,"Tulane University is in which of the following states?
",Louisiana,New Mexico,Louisiana,Nevada,Colorado
639,"In which of these states is Austin Peay State University located?
",Tennessee,Illinois,Tennessee,Oregon,Indiana
640,"Morehead State University is in the city of Morehead that is located in which state?
",Kentucky,Florida,Ohio,Alabama,Kentucky
641,"Which of these states is the location of Marshall University?
",West Virginia,West Virginia,South Dakota,Hawaii,Arizona
642,"St. Bonaventure University, founded in 1858, is located in Cattaraugus County. Which state is it in?
",New York,Florida,Pennsylvania,New York,Idaho
643,"What does the prefix tachy- mean?
",too fast,too slow,too soft,too fast,too loud
644,"The suffix -itis refers to what condition?
",inflammation,bleeding,deficiency,enlargement,inflammation
645,"The doctor says you need a CBC. What is he talking about?
",A blood test,A vacation,A medication,A blood test,An enema
646,"The doctor writes a prescription with instructions to take the medication PRN. What does PRN mean?
",As needed,By mouth,Immediately,As needed,Every other day
647,"In preparation for a blood test, the lab slip says you have to be NPO for 8 hours prior to the test. What do you have to do?
",Do not take anything by mouth,Lie flat in bed for 8 hours,Exercise for 8 hours,Sleep for 8 hours,Do not take anything by mouth
648,"During a physical exam, the doctor says he wants to auscultate your heart. What instrument will he use?
",Stethoscope,Scalpel,Forceps,Stethoscope,Blood pressure monitor
649,"To palpate your thyroid gland, what part of your body will the doctor touch?
",Neck,Lower abdomen,Upper arm,Neck,Lower back
650,"Where are the Islets of Langerhans?
",in the pancreas,in the pancreas,in Denmark,in the brain,in the liver
651,"If the doctor writes NSR on your electrocardiogram, what can you expect him to tell you?
",That everything is fine,That youll need open heart surgery,That the reading isnt accurate and the test should be repeated,That youll have to take medication for your heart,That everything is fine
652,"After checking your blood pressure, the doctor says the diastolic pressure is elevated. To which number is he referring?
",The bottom number,The difference between the numbers,Both numbers together,The top number,The bottom number
653,"What year did Green Acres first air on television?
",1965,1966,1967,1965,1964
654,"On the show Green Acres, the name of Oliver Wendall Douglass wife was Eva.
",False,False,True,,
655,"The TV show Green Acres was set in the fictional town of Hooterville.
",True,False,True,,
656,"On the show Green Acres, what was the name of the pig adopted by Fred and Doris Ziffel?
",Arnold,Willie,Wilber,Arnold,Agnes
657,"Green Acres ran on television for 9 seasons.
",False,True,False,,
658,"Where did the phone company install the Douglases phone in the series Green Acres?
",On top of the telephone pole,In the bathroom,On top of the telephone pole,On the front porch,On the back porch
659,"Oliver from Green Acres was an attorney in New York before moving to Hooterville.
",True,True,False,,
660,"Which character on Green Acres was played by Alvy Moore?
",Hank Kimball,Fred Ziffel,Eb Dawson,Hank Kimball,Sam Drucker
661,"What was the last name of Eustace Charleton, the wacky character on Green Acres?
",Haney,Dawson,Monroe,Ziffel,Haney
662,"How do you say I feel hot in Spanish?
",Tengo calor.,Tengo frio.,Tengo ocho anos.,Tengo calor.,Tengo resfriado.
663,"How do you ask What is your name? in Spanish?
",Come se llama usted?,Come se llama usted?,Quien me llama a mi?,Que tienes?,Cuantos anos tiene usted?
664,"Which if the following translates as We are going to the store in Spanish?
",Vamos a la tienda.,Vamos al cine.,Vamos a la bibiloteca.,Vamos a la tienda.,Vamos a la playa.
665,"How do you say fire-fighter in Spanish?
",Bombero,Enfermero,Florista,Poeta,Bombero
666,"What is the Spanish equivalent of apple?
",Manzana,Arroz,Apio,Manzana,Uva
667,"How do you say Im lost in Spanish?
",Estoy perdido.,Estoy perdido.,Estoy listo.,Estoy en la cocina.,Estoy cansado.
668,"What is the word for grandmother in Spanish?
",Abuela,Hermana,Sobrina,Abuela,Prima
669,"How do you say to the right in Spanish?
",A la derecha,A la derecha,A la iglesia,A la una,A la izquierda
670,"Which of these sentences translates as The trees are green. in Spanish?
",Los arboles son verdes.,Los gatos son blancos.,Los arboles son verdes.,Las casas son azules.,Los perros son negros.
671,"No me gusta is Spanish for I dont like it.
",True,True,False,,
672,"When was Clint Eastwood born?
","May 31, 1930","May 31, 1931","May 30, 1931","May 31, 1930","May 30, 1930"
673,"Clint Eastwood was born in Carmel, California.
",False,False,True,,
674,"Clint Eastwood was drafted into the US Army in 1951 and stationed at Ft. Ord, CA. What duty did he perform while there?
",swimming instructor,swimming instructor,"None, he broke his arm within the first week and was medically discharged",heavy engine mechanic,folding and stuffing parachutes
675,"Eastwood portrayed the man with no name in a trilogy of spaghetti westerns.  Which of these is NOT one of those films.
",High Plains Drifter,"The Good, The Bad, and The Ugly",A Fistful of Dollars,High Plains Drifter,For A Few Dollars More
676,"In what movie is Eastwoods character on the run from bounty hunters and Union soldiers?
",The Outlaw Josey Wales,High Plains Drifter,Pale Rider,The Beguiled,The Outlaw Josey Wales
677,"How many movies were made featuring the character Dirty Harry during the 70s and 80s?
",5,3,6,4,5
678,"For which two movies has Clint Eastwood been given the Academy Award for Best Director?
",Unforgiven  Million Dollar Baby,Unforgiven  Million Dollar Baby,Mystic River  Midnight in the Garden of Good  Evil,Unforgiven  Mystic River,Mystic River  Million Dollar Baby
679,"Which Academy Award-winning film actor married Madonna in 1985 and divorced her in 1989?
",Sean Penn,Sean Penn,Mickey Rourke,Bruce Willis,Guy Ritchie
680,"Which American actor, known for his passion for basketball and the LA Lakers in particular, appeared in One Flew Over the Cuckoos Nest as Randle Patrick McMurphy?
",Jack Nicholson,Gene Hackman,Dustin Hoffman,Jack Nicholson,Matthew Perry
681,"This actress, best known for her roles in Legally Blonde and Walk the Line, got engaged to Ryan Phillippe in 1998, and co-starred with him in the 1999 hit movie Cruel Intentions.
",Reese Witherspoon,None of these,Sarah Michelle Gellar,Selma Blair,Reese Witherspoon
682,"Which of the Baldwin brothers was married to Kim Basinger from 1993 to 2002?
",Alec,William,Alec,Daniel,Stephen
683,"Which Hollywood actress won an Academy Award for her portrayal of the young transman, Brandon Teena in the 1999 movie Boys Dont Cry?
",Hilary Swank,Alicia Goranson,Hilary Swank,ChloÃ« Sevigny,Jeanetta Arnette
684,"In 2004, this Academy Award-winning actress, was listed by the Australian magazine BRW, as the richest Australian woman under 40.
",Nicole Kidman,Olivia Newton-John,Naomi Watts,Nicole Kidman,Heath Ledger
685,"In 2004, this English actress received her fourth Academy Award nomination for her performance in the movie Eternal Sunshine of the Spotless Mind.
",Kate Winslet,Lindsay Lohan,Kirstie Alley,Kate Winslet,Renee Zellweger
686,"Which Welsh-born actor got two Oscar nominations for playing US Presidents in the movies Nixon and Amistad?
",Sir Anthony Hopkins,Jeremy Irons,John Spencer,Sir Anthony Hopkins,John Malkovich
687,"This Hollywood actress, who at the age of 7 starred in the film E.T. the Extra -Terrestrial, described her troubled childhood in her 1990 autobiography, Little Girl Lost.
",Drew Barrymore,Winona Ryder,Kate Moss,Juliette Lewis,Drew Barrymore
688,"This Golden Globe-winning actress was arrested on December 12, 2001 for shoplifting designer clothes in a department store in Beverly Hills.
",Winona Ryder,Kate Moss,Angelina Jolie,Winona Ryder,Natasha Lyonne
689,"The following words belong to a fictional private detective, created by Agatha Cristie: â€˜I, who have undoubtedly the finest brain in Europe at present, can afford to be magnanimous.â€™
",Hercule Poirot,John Shaft,Drury Lane,Perry Mason,Hercule Poirot
690,"This fictional detective, created by a British author and physician, delivered the following words in the short story, â€˜The Boscome Valley Mysteryâ€™: â€˜There is nothing more deceptive than an obvious fact.â€™
",Sherlock Holmes,Sherlock Holmes,Philip Trent,Charlie Chan,Sam Spade
691,"This eccentric literary detective, who lives alone in Paris, is the creation of Edgar Allan Poe.
",Auguste Dupin,Paul Temple,Auguste Dupin,Hercule Poirot,Henry Merrivale
692,"This fictional detective first appeared in the novel, â€˜The Murder at the Vicarageâ€™. Her motto is The young people think the old people are fools, but the old people know the young people are fools.
",Miss Jane Marple,Jessica Fletcher,Miss Jane Marple,Daphne Matthews,Kate Fansler
693,"This fictional character, depicted by G. K. Chesterton, is both a detective and a Catholic priest. He addressed the following words to the reformed criminal, Flambeau: â€˜Has it never struck you that a man who does next to nothing but hear mens real sins is not likely to be wholly unaware of human evil?.
",Father Brown,Father Brown,Father Roger,Father Smith,Gideon Fell
694,"This fictional detective, described as a â€˜hard and shifty fellowâ€™, is the leading character in the novel â€˜The Maltese Falconâ€™.
",Sam Spade,Rex Carver,Sam Spade,Mike Hammer,Philip Marlowe
695,"This fictional police detective, who likes smoking pipes, is the literary creation of Georges Simenon. Unlike his assistant Leroy, he often relies on his instincts in solving cases.
",Jules Maigret,Hercule Poirot,Jules Maigret,Dick Tracy,Inspector Morse
696,"The name of this fictional detective from the novel, â€˜The Roman Hat Mysteryâ€™ is also the pseudonym under which the two cousins, Frederick Dannay and Manfred B. Lee wrote detective fiction.
",Ellery Queen,Inspector Rebus,Ellery Queen,Henri Bencolin,Jim Rockford
697,"This literary private eye, who works in Southern California, was first introduced in the novel, â€˜The Moving Targetâ€™.
",Lew Archer,Lew Archer,Ellery Queen,Travis McGee,Paul Temple
698,"This fictional private eye made the following observation in the book, â€˜The Big Sleepâ€™: â€˜Dead men are heavier than broken heartsâ€˜.
",Phillip Marlowe,Cliff Hardy,Rex Carver,Phillip Marlowe,Dick Tracy
699,"Marijuana can cause infertility in both men and women.
",False,False,True,,
700,"Marijuana overdose related deaths were reported to have increased among youths in the USA in the last decade of the 20th century.
",False,True,False,,
701,"What was the estimated number of deaths of marijuana overdose in the USA for 2005?
",0,0,1000,"45,000","15,000"
702,"Archaeologists report that marijuana was possibly the first plant cultivated by humans. The first evidences of this date back to approximately what time?
",8000 BC,4000 BC,1000 BC,8000 BC,"12,000 BC"
703,"The FBI reports show that 65-75% of criminal violence is marijuana related.
",False,True,False,,
704,"George Washington and Thomas Jefferson are known to have grown marijuana.
",True,True,False,,
705,"Sterilized hemp seeds are often sold as what?
",Bird seed,Bird seed,Catnip,Snacks,Jewelry
706,"How many Americans were arrested on marijuana charges in 1997?
","More than 690,000","100,000","More than 690,000","50,000","Less than 5,000"
707,"Which of the following is not a name for marijuana?
",Cancer stick,Joint,Cancer stick,Blunt,Maryjane
708,"Which film about marijuana was directed by Louis Gasnier and released in 1936?
",Reefer Madness,Dont get high,Reefer Madness,Pot and you,Reefer times
709,"The famous boyhood friends depicted by Mark Twain were Huckleberry Finn and this character.
",Tom Sawyer,The Duke,Jim the slave,Tom Sawyer,Injun Joe
710,"What was the title of Leo Tolstoys classic about the Napoleonic Wars?
",War and Peace,War and Remembrance,War and Its Aftermath,War and Prosperity,War and Peace
711,"Which of the following words usually follows the word zip?
",Code,Code,Area,Zone,Postal
712,"In the B  O Railroad, what does the B stand for?
",Baltimore,Birmingham,Baltimore,Boston,Brooklyn
713,"What are the first names of the comedy team of Rowan and Martin?
",Dick and Dan,Frick and Frack,Thelma and Louise,Dick and Dan,Bob and Ray
714,"Which cartoon character was the gentleman friend of Olive Oyle?
",Popeye,Bluto,Caster Oyle,Sweet Pea,Popeye
715,"In the Old Testament, whose hair was cut off by the temptress Delilah?
",Samson,"Aaron, the brother of Moses",Nimrod,Solomon,Samson
716,"Who was the ever faithful friend and comrade-in-arms of Sherlock Holmes?
",John Watson,John Watson,Nicholas Moriarty,Mrs. Hudson,The Baker Street Irregulars
717,"Name the comedy team of the late 60s whose routines include Earache My Eye and Santa Claus and his Old Lady.
",Cheech and Chong,Toker and Reefer,Bubba and Bong,Cheech and Chong,Weed and Joint
718,"What team of animators is responsible for most of the Saturday morning cartoons?
",Hanna and Barbera,The Disney Brothers,Crocker and Otis,Hanna and Barbera,Dow and Jones
719,"What word completes the following cliche: The blind leading the ______. ?
",blind,soldiers,blind,sheep,faithful
720,"What is correct word to complete the cliche: like a ___ in a china shop?
",bull,bull,beggar,clown,dog
721,"What word completes the following cliche: a square ____ in a round hole?
",peg,lizard,peg,button,letter
722,"What is correct word to complete the cliche: Face the ______.?
",music,music,east wind,crowd,angry bees
723,"What word completes the following cliche: â€œto make a _____ out of a molehillâ€?
",mountain,horse,mountain,mansion,castle
724,"Reservoir Dogs, Kill Bill, Jackie Brown
","Tarantino, Quentin","Allen, Woody","Coppola, Francis Ford","Tarantino, Quentin","Eastwood, Clint"
725,"Topaz, Frenzy, Psycho
","Hitchcock, Alfred","Hitchcock, Alfred","Lynch, David","Coppola, Sofia","Besson, Luc"
726,"The Hills Have Eyes, The Twilight Zone, Cursed
","Craven, Wes","Craven, Wes","Crichton, Michael","Lynch, David","Hitchcock, Alfred"
727,"Sleepy Hollow, Beetle Juice, Big Fish
","Burton, Tim","Burton, Tim","Chopra, Yash","Herzog, Werner","Argento, Dario"
728,"Twin Peaks, Wild at Heart, Hotel Room
","Lynch, David","Lynch, David","Burton, Tim","Reggio, Godfrey","Van Gogh, Theo"
729,"Dracula, The Rainmaker, The Godfather
","Coppola, Francis Ford","Coppola, Francis Ford","Almod, Pedro","Tarantino, Quentin","Chopra, Yash"
730,"Lonesome Cowboys, Saturday Night Live, LAmour
","Warhol, Andy","Ozon, Francois","Riefenstahl, Leni","Burton, Tim","Warhol, Andy"
731,"Bowling for Columbine, And Justice for All, Fahrenheit 9/11
","Moore, Michael","Coppola, Francis Ford","Reggio, Godfrey","Spielberg, Steven","Moore, Michael"
732,"Eyes Wide Shut, Full Metal Jacket, Lolita
","Kubrick, Stanley","Jackson, Peter","Lynch, David","Kubrick, Stanley","Avary, Roger"
733,"Midnight in the Garden of Good and Evil, Absolute Power, Mystic River
","Eastwood, Clint","Riefenstahl, Leni","Eastwood, Clint","Jackson, Peter","Spielberg, Steven"
734,"Which of these significant tragic events was the last to occur during the decade of the 1980s?
",The Tiananmen Square Massacre in China,The space shuttle Challenger explosion,John Hinckleys assassination attempt on President Ronald Reagan,The Tiananmen Square Massacre in China,The Soviet invasion of Afghanistan
735,"The 1985-86 Boston Celtics were on top of the world. There had just won their 16th NBA championship and their super star Larry Bird won the MVP. To make things even better, they drafted a young man in 1986 who was considered by many to be the future of the Celtics. Tragically, this young man died of a cocaine overdose just 48 hours after he was drafted. What was the name of this person whose death shocked the country?
",Len Bias,Ralph Sampson,Jimmy Black,Len Bias,Reggie Lewis
736,"In the fall of 1982, seven people in the Chicago area died after taking an over-the-counter medication deliberately laced with cyanide. What brand of medication was it?
",Extra Strength Tylenol,Bayer Aspirin,Benadryl,Extra Strength Tylenol,Excedrin PM
737,"Which television sitcom was not originally on the air at some time during the 1980s?
",Good Times,Silver Spoons,Good Times,Family Ties,Too Close for Comfort
738,"This 1980s rap group trio brought rap into the mainstream with the 1986 rap-rock hit Walk This Way, a collaborative effort with the rock band Aerosmith.
",Run DMC,Whodini,The Beastie Boys,The Boogie Boys,Run DMC
739,"The Berlin Wall was constructed in 1961 to separate West Berlin and East Germany. Its construction was approved by Soviet leader Nikita Khrushchev. Who was the leader of the Soviet Union when the Berlin Wall was dismantled in 1989?
",Mikhail Gorbachev,Yuri Andropov,Mikhail Gorbachev,Leonid Brezhnev,Konstantin Chernenko
740,"In 1981, Nintendo developed a video arcade game which featured a giant ape as the villain. The ape would try to stop Mario, the games hero, from reaching and rescuing the damsel in distress by rolling wooden barrels at him. What was the name of this arcade game?
",Donkey Kong,Kong vs. Mario,Donkey Kong,Grape Ape,Super Mario Bros.
741,"The Detroit Tigers defeated the San Diego Padres in the 1984 World Series. The Tigers clinched the series in game 5 when Kirk Gibson hit a three-run homerun off of this famous closer (pitcher).
",Goose Gossage,Donnie Moore,Bruce Sutter,Goose Gossage,Steve Bedrosian
742,"This NFL team established their dominance in the 1980s, winning three Super Bowls during the decade.
",San Francisco 49ers,Pittsburgh Steelers,Washington Redskins,Green Bay Packers,San Francisco 49ers
743,"Comedic actor Jesse Donald Knotts was born on 21 July, in what year?
",1924,1930,1934,1924,1922
744,"In which film did Don Knotts star as Wheely Applegate?
",Herbie Goes to Monte Carlo (1977),Bedknobs and Broomsticks (1971),Benji (1974),Herbie Goes to Monte Carlo (1977),Escape to Witch Mountain (1975)
745,"What was Colonel Potters home state according to the M*A*S*H TV series?
",Missouri,Montana,Iowa,Minnesota,Missouri
746,"According to the M*A*S*H series, what unit of the Army did Colonel Potter belong to during World War I?
",Cavalry,Cavalry,Infantry,Fighter Pilot,Engineer
747,"In M*A*S*H, Colonel Potter had received a Purple Heart during World War II. How did he suffer his injury?
",His still blew up,Bobming raid,Cavalry charge,A mine,His still blew up
748,"Colonel Potter loved to paint and had done several portraits of his fellow members of the 4077 in the M*A*S*H TV series. Those portraits were actually painted by Harry Morgan.
",True,False,True,,
749,"Colonel Potter was 1/4 Native American according to the M*A*S*H series. Which Native American group was he related to?
",Cherokee,Cherokee,Iroquois,Navahoe,Comanchee
750,"In the very last episode of M*A*S*H*, what did Colonel Potter receive as a goodbye gift from B.J. and Hawkeye?
",A salute,A hug,A joke book,A kiss on the cheek,A salute
751,"In what language does Ich habe Hunger mean Im hungry?
",German,French,German,Swedish,Icelandic
752,"I dont feel well is Ik voel me niet lekker in which European language?
",Dutch,Romanian,Serbian,German,Dutch
753,"The following sentence is written in what language:
",,"trÃ¤dgÃ¥rden lÃ¥g ett gammalt hus, och i huset bodde Pippi LÃ¥ngstrump?",Swedish,German,Danish
754,"rÃ¤dgÃ¥rden lÃ¥g ett gammalt hus, och i huset bodde Pippi LÃ¥ngstrump?
",Swedish,German,Danish,Swedish,Dutch
755,"In questo disco affrontano uno straordinario viaggio alla ricerca delle radici della musica classica is a sentence in what language?
",Italian,Italian,Spanish,French,Icelandic
756,"In what language is this line: 
",,riachi me acompaÃ±a cuando canto mi canciÃ³n?,Spanish,Swedish,French
757,"iachi me acompaÃ±a cuando canto mi canciÃ³n?
",Spanish,Swedish,French,Hebrew,Spanish
758,"Name the language in which this sentence is written: 
",, otunwahe kin el tuktel owotetipi wanzi han hwo.,Lakota,Japanese,Hawaiian
759,"otunwahe kin el tuktel owotetipi wanzi han hwo.
",Lakota,Japanese,Hawaiian,Lakota,Icelandic
760,"Jai compris tous les mots, jai bien compris, merci is a sentence in what language?
",French,French,Romanian,Dutch,Italian
761,"In what language is the sentence:
",,levala on inspiroinut monia kirjailijoita myÃ¶s Suomen ulkopuolella?,Finnish,Bulgarian,Finnish
762,"evala on inspiroinut monia kirjailijoita myÃ¶s Suomen ulkopuolella?
",Finnish,Bulgarian,Finnish,German,Hungarian
763,"U petom mjesecu 2006 godine Crna Gora se odcijepila od Srbije is in what language?
",Croatian,Hungarian,French,Spanish,Croatian
764,"Doomo arigatou gozaimasu is a very polite expression which means Thank you very much in what language?
",Japanese,Bulgarian,French,Japanese,Irish
765,"If a rooster is sitting on the roof of a barn and lays an egg, it will always roll down the shortest path.
",False,True,False,,
766,"If a doctor gives you three pills with instructions to take one every half hour, when will you take the last one?
",1 hour later,1 hour later,None of the above,1 and 1/2 hours later,2 hours later
767,"Assume you have an old fashioned analog alarm clock. If it is currently 6 pm and you want to wake up at 7 am tomorrow and you set your clock accordingly. The clock will go off 13 hours later.
",False,True,False,,
768,"Brothers and sisters I have none, but that mans father is my fathers son. Who am I?
",Son,Son,Uncle,Father,Grandfather
769,"Do they have a 4th of July in Great Britian?
",Yes,No,Yes,,
770,"Some months have 30 days and some have 31. How many have 28?
",12,5,1,12,3
771,"In California, is it possible for a man to marry his widows sister?
",No,Yes,No,,
772,"A doctor walks into an operating room and after looking at a patient says, â€œI cant operate on him, hes my son.â€ The doctor is not the patients father. Is this possible?
",Yes,No,Yes,,
773,"A plane crashes on the border of Canada and the USA, 60 people die. Where do they bury the survivors?
",Neither,Split 50/50,Neither,USA,Canada
774,"I have 10 apples and I give all but 6 away, how many do I have left?
",6,0,5,4,6
775,"Mike and Gloria were two of the main characters on which TV show?
",All in the Family,Happy Days,All in the Family,The Brady Bunch,Threes Company
776,"Which TV show featured the characters Florida and Penny?
",Good Times,Good Times,Gilligans Island,Lassie,Mash
777,"Thurston Howell was the richest among the characters of which television series?
",Gilligans Island,Gilligans Island,Nashville,Dodge City,Stockton
778,"On which TV show were two of the characters called Matthew and Galan?
",Gunsmoke,Gunsmoke,Family Affair,Rifleman,Good Times
779,"In this television series, Wally had a younger brother who pestered him constantly.
",Leave it to Beaver,Rifleman,Good Times,Leave it to Beaver,Family Affair
780,"Jethro Bodine was a character from which of these shows?
",The Beverly Hillbillies,Johnny Quest,The Beverly Hillbillies,Mannix,The Life of Riley
781,"On which sitcom did Roxie Roker play Helen Willis?
",The Jeffersons,Happy Days,Gunsmoke,The Jeffersons,Baretta
782,"Jaime Sommers, a character stronger than the usual human being, was played by Lindsey Wagner in which TV series?
",The Bionic Woman,The Six Million Dollar Woman,Women Are Strong Too,The Bionic Woman,Americas Most Wanted
783,"Jackie Harris is a character played by Laurie Metcalf on which sitcom?
",Roseanne,Cosby,Kids are funny too,Roseanne,Fat Albert
784,"Characters Reverend Jim and Louie worked for the Sunshine Cab Company on which TV show?
",Taxi,Taxi,Cabs R Us,D. C. Cab,Taxi Driver
785,"This toilet, also referred to as kybo, is a small structure separate from the main building which does not have a flush or sewer attached.
",Outhouse,Restroom,Lavatory,Outhouse,Chamber pot
786,"This toileting facility, typically used in the case of bedridden persons, usually consists of of a metal, glass, or plastic receptacle.
",Bedpan,Outhouse,Bathroom,Loo,Bedpan
787,"Which British word is a synonym of toilet?
",Loo,John,Restroom,Loo,Head
788,"What would your pet cat use to relieve itself?
",Litter Box,Chamber Pot,Litter Box,Lavatory,Outhouse
789,"This low-mounted plumbing fixture, similar in design to a toilet, is used for washing the external genitalia and the anus.
",Bidet,Lavatory,Bedpan,Bidet,Urinal
790,"Which specialized toilet is designed to be used only for urination?
",Urinal,Bedpan,Compost,Loo,Urinal
791,"The Australian slang term for a toilet is bunny.
",False,True,False,,
792,"This word, which in French means convenient, is sometimes used as a euphemistic term, meaning a toilet.
",Commode,Lavatory,Outhouse,Bidet,Commode
793,"This criminal from the novel, â€˜Great Expectationsâ€™ escapes from prison and later becomes the secret benefactor of the boy who helped him out.
",Abel Magwitch,Fagin,Mr Micawber,Abel Magwitch,Bill Sikes
794,"This literary criminal, described by Charles Dickens as a â€œloathsome reptileâ€?, trains a band of young boys to steal and make a living by pickpocketing.
",Fagin,Bill Sikes,Noah Claypole,Mr. Brownlow,Fagin
795,"This literary villain, mainly driven by greed, is Mr. Wickfieldâ€™s clerk. He makes treacherous plans to take control of his employerâ€™s business.
",Uriah Heep,Tommy Traddles,Uriah Heep,Wilkins Micawber,James Steerforth
796,"This shrewd and sophisticated female protagonist from the epistolary novel â€˜Dangerous Liaisonsâ€™ controls and dominates the lives of people around her through sex intrigues.
",Marquise de Merteuil,Cruella de Ville,Cecile de Volanges,Marquise de Merteuil,Madame de Tourvel
797,"This literary character, created by Thomas Harris, is a psychiatrist and serial killer, who practices cannibalism.
",Hannibal Lecter,Ed Gein,Professor Moriarty,Hannibal Lecter,Barney Matthews
798,"This extremely ambitious and corrupt fictional character urges her husband to murder Duncan, the King of Scotland, and to take the throne.
",Lady Macbeth,Madame de Tourvel,Lady Chatterley,Lady Macbeth,Desdemona
799,"This fictional villain is described by Arthur Conan Doyle as the â€˜Napoleon of Crimeâ€™.
",Professor Moriarty,Professor Moriarty,Charlie Chan,Ellery Queen,Lord John Roxton
800,"This villainous literary character, created by Mark Twain, murders Dr. Robinson and plans to mutilate Widow Douglas.
",Injun Joe,Joe Harper,Silas Phelps,Judge Thatcher,Injun Joe
